,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_FWHM,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
45,1.0,1.0,93.9900000000028,-0.018227992865071485,1.25,-0.049999999999998934,0.31630458265072114,1.9457154802130718,1749058832,,False,1,f4cb3_00045,2025-06-04_18-40-32,18.995527267456055,18.995527267456055,3792616,cnl-brain9,155.198.99.250,18.995527267456055,1,0.10250000000000001,f4cb3_00045
46,1.0,1.0,80.52000000000228,-0.015138486369661752,1.25,-0.049999999999998934,0.33860328591694433,1.7894137403453854,1749058830,,False,1,f4cb3_00046,2025-06-04_18-40-30,16.907944202423096,16.907944202423096,3792620,cnl-brain9,155.198.99.250,16.907944202423096,1,0.12000000000000001,f4cb3_00046
47,1.0,1.0,70.4700000000019,-0.011338533300008002,1.25,-0.049999999999998934,0.36079230735601486,1.637579425230946,1749058826,,False,1,f4cb3_00047,2025-06-04_18-40-26,13.673051118850708,13.673051118850708,3792621,cnl-brain9,155.198.99.250,13.673051118850708,1,0.1375,f4cb3_00047
48,1.0,1.0,62.700000000001616,-0.009395252906102769,1.25,-0.049999999999998934,0.3832274854924562,1.5352460959041492,1749058827,,False,1,f4cb3_00048,2025-06-04_18-40-27,14.079131841659546,14.079131841659546,3792622,cnl-brain9,155.198.99.250,14.079131841659546,1,0.15500000000000003,f4cb3_00048
49,1.0,1.0,56.43000000000138,-0.008400829323954806,1.25,-0.049999999999998934,0.40479660657574223,1.4612750759356645,1749058826,,False,1,f4cb3_00049,2025-06-04_18-40-26,13.22452974319458,13.22452974319458,3792624,cnl-brain9,155.198.99.250,13.22452974319458,1,0.17250000000000001,f4cb3_00049
50,1.0,1.0,51.45000000000119,-0.001886457681581799,1.25,-0.049999999999998934,0.4336132761903846,1.3566865198512552,1749058825,,False,1,f4cb3_00050,2025-06-04_18-40-25,12.315841674804688,12.315841674804688,3792627,cnl-brain9,155.198.99.250,12.315841674804688,1,0.19,f4cb3_00050
51,1.0,1.0,47.19000000000103,-0.0011411580663662768,1.25,-0.049999999999998934,0.45732251950508607,1.3141915399255124,1749058825,,False,1,f4cb3_00051,2025-06-04_18-40-25,12.077840328216553,12.077840328216553,3792631,cnl-brain9,155.198.99.250,12.077840328216553,1,0.20750000000000002,f4cb3_00051
52,1.0,1.0,43.62000000000089,0.0027698313324422408,1.25,-0.049999999999998934,0.48250170987728236,1.2595261835248686,1749058823,,False,1,f4cb3_00052,2025-06-04_18-40-23,10.208110570907593,10.208110570907593,3792633,cnl-brain9,155.198.99.250,10.208110570907593,1,0.22500000000000003,f4cb3_00052
53,1.0,1.0,40.62000000000078,0.005669220842771772,1.25,-0.049999999999998934,0.5049633806526068,1.2201686769253162,1749058822,,False,1,f4cb3_00053,2025-06-04_18-40-22,9.373480319976807,9.373480319976807,3792638,cnl-brain9,155.198.99.250,9.373480319976807,1,0.2425,f4cb3_00053
54,1.0,1.0,37.95000000000068,0.007833531223291335,1.25,-0.049999999999998934,0.5280695412230276,1.1908505387794361,1749058821,,False,1,f4cb3_00054,2025-06-04_18-40-21,8.22535228729248,8.22535228729248,3792579,cnl-brain9,155.198.99.250,8.22535228729248,1,0.26,f4cb3_00054
