,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/speed_mean,logdir
43,1.0,1.0,45.66000000000097,0.016397905009127633,1.25,-0.049999999999998934,0.7020852619839064,1.1330870415790295,1759200110,,False,1,f9692_00043,2025-09-30_03-41-50,13.356422424316406,13.356422424316406,3988933,cnl-brain9,155.198.99.250,13.356422424316406,1,0.22500000000000003,f9692_00043
44,1.0,1.0,42.18000000000084,0.007415104528572858,1.25,-0.049999999999998934,0.48405706068866694,1.1776021490454525,1759200110,,False,1,f9692_00044,2025-09-30_03-41-50,13.354279041290283,13.354279041290283,3988934,cnl-brain9,155.198.99.250,13.354279041290283,1,0.2375,f9692_00044
45,1.0,1.0,39.33000000000073,0.003114291835323968,1.25,-0.049999999999998934,0.5513446317412312,1.1771179126508562,1759200109,,False,1,f9692_00045,2025-09-30_03-41-49,12.520301103591919,12.520301103591919,3988935,cnl-brain9,155.198.99.250,12.520301103591919,1,0.25,f9692_00045
46,1.0,1.0,39.480000000000736,0.003384379474271171,1.25,-0.049999999999998934,0.4918998943286219,1.2668194397972465,1759200108,,False,1,f9692_00046,2025-09-30_03-41-48,11.941051244735718,11.941051244735718,3988936,cnl-brain9,155.198.99.250,11.941051244735718,1,0.2625,f9692_00046
47,1.0,1.0,33.99000000000053,0.007977578456672685,1.25,-0.049999999999998934,0.5594997653962337,1.2133447837526463,1759200107,,False,1,f9692_00047,2025-09-30_03-41-47,10.610769987106323,10.610769987106323,3988937,cnl-brain9,155.198.99.250,10.610769987106323,1,0.275,f9692_00047
48,1.0,1.0,33.54000000000051,0.022456342930748274,1.25,0.05000000000000071,0.6940861043589086,1.1132162286662282,1759200108,,False,1,f9692_00048,2025-09-30_03-41-48,11.92797327041626,11.92797327041626,3988938,cnl-brain9,155.198.99.250,11.92797327041626,1,0.28750000000000003,f9692_00048
49,1.0,1.0,31.950000000000454,0.01620958918541504,1.25,0.05000000000000071,0.6500017455960108,1.1132485338097953,1759200105,,False,1,f9692_00049,2025-09-30_03-41-45,8.760966062545776,8.760966062545776,3988939,cnl-brain9,155.198.99.250,8.760966062545776,1,0.3,f9692_00049
50,1.0,1.0,31.500000000000437,0.021706541505961408,1.25,-0.049999999999998934,0.6573545579260451,1.0607584362324196,1759200114,,False,1,f9692_00050,2025-09-30_03-41-54,9.719542026519775,9.719542026519775,3988911,cnl-brain9,155.198.99.250,9.719542026519775,1,0.3125,f9692_00050
51,1.0,1.0,31.29000000000043,0.012779274778359717,1.25,-0.049999999999998934,0.6854310768624656,1.1276290520956778,1759200113,,False,1,f9692_00051,2025-09-30_03-41-53,8.245912075042725,8.245912075042725,3988912,cnl-brain9,155.198.99.250,8.245912075042725,1,0.325,f9692_00051
52,1.0,1.0,28.860000000000337,0.01548603512165192,1.0,-0.049999999999998934,0.5640193060400933,1.1420806432140527,1759200115,,False,1,f9692_00052,2025-09-30_03-41-55,9.814554452896118,9.814554452896118,3988913,cnl-brain9,155.198.99.250,9.814554452896118,1,0.3375,f9692_00052
53,1.0,1.0,29.76000000000037,0.008552921144872272,1.25,-0.049999999999998934,0.568432783484194,1.1614504958812253,1759200115,,False,1,f9692_00053,2025-09-30_03-41-55,9.926439046859741,9.926439046859741,3988914,cnl-brain9,155.198.99.250,9.926439046859741,1,0.35000000000000003,f9692_00053
54,1.0,1.0,28.11000000000031,0.02596955237501586,1.25,-0.049999999999998934,0.7595240045086058,1.0747136875769803,1759200114,,False,1,f9692_00054,2025-09-30_03-41-54,8.752837896347046,8.752837896347046,3988939,cnl-brain9,155.198.99.250,8.752837896347046,1,0.3625,f9692_00054
55,1.0,1.0,27.150000000000272,0.01888891760311484,1.25,0.05000000000000071,0.65350585482016,1.0782690417542349,1759200115,,False,1,f9692_00055,2025-09-30_03-41-55,9.187008142471313,9.187008142471313,3988909,cnl-brain9,155.198.99.250,9.187008142471313,1,0.375,f9692_00055
56,1.0,1.0,24.96000000000019,0.033953396357759846,1.25,0.05000000000000071,0.9007889228699786,1.0226881545871518,1759200114,,False,1,f9692_00056,2025-09-30_03-41-54,7.86332106590271,7.86332106590271,3988908,cnl-brain9,155.198.99.250,7.86332106590271,1,0.3875,f9692_00056
57,1.0,1.0,25.650000000000215,0.016989706166091967,1.25,-0.049999999999998934,0.6757840494688065,1.1040396253746672,1759200114,,False,1,f9692_00057,2025-09-30_03-41-54,7.780675649642944,7.780675649642944,3988906,cnl-brain9,155.198.99.250,7.780675649642944,1,0.4,f9692_00057
58,1.0,1.0,241.50000000000838,-0.02275351277326676,1.0,-0.049999999999998934,0.24765641085479873,1.4948716204514925,1759200145,,False,1,f9692_00058,2025-09-30_03-42-25,38.22978925704956,38.22978925704956,3988907,cnl-brain9,155.198.99.250,38.22978925704956,1,0.05,f9692_00058
59,1.0,1.0,129.42000000000414,-0.0234352449608366,1.0,-0.049999999999998934,0.2934670088971192,2.154476921612457,1759200141,,False,1,f9692_00059,2025-09-30_03-42-21,34.03056216239929,34.03056216239929,3988904,cnl-brain9,155.198.99.250,34.03056216239929,1,0.0625,f9692_00059
60,1.0,1.0,117.7200000000037,-0.024430553857548,1.25,-0.049999999999998934,0.2788143383365118,1.865474320765538,1759200137,,False,1,f9692_00060,2025-09-30_03-42-17,30.042519330978394,30.042519330978394,3988905,cnl-brain9,155.198.99.250,30.042519330978394,1,0.07500000000000001,f9692_00060
61,1.0,1.0,103.32000000000315,-0.006569885714363455,1.25,-0.049999999999998934,0.4165514099962371,2.7289732514495104,1759200137,,False,1,f9692_00061,2025-09-30_03-42-17,29.537353992462158,29.537353992462158,3988903,cnl-brain9,155.198.99.250,29.537353992462158,1,0.08750000000000001,f9692_00061
62,1.0,1.0,101.61000000000308,-0.013617304311128287,1.0,-0.049999999999998934,0.36308157507489147,1.780872240032069,1759200135,,False,1,f9692_00062,2025-09-30_03-42-15,27.745030403137207,27.745030403137207,3988902,cnl-brain9,155.198.99.250,27.745030403137207,1,0.1,f9692_00062
