,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/target_shift,logdir
121,2.0,2.0,41.580000000000815,0.0012690228988518903,1.25,2.4499999999999997,0.48724567958290166,1.694052406497395,1759200223,,False,1,1f7ba_00121,2025-09-30_03-43-43,26.401803970336914,26.401803970336914,3997835,cnl-brain9,155.198.99.250,26.401803970336914,1,2.4,1f7ba_00121
122,2.0,2.0,39.690000000000744,0.001440150748589275,1.25,2.45,0.4725705047826674,1.8646500321633421,1759200220,,False,1,1f7ba_00122,2025-09-30_03-43-40,23.2447669506073,23.2447669506073,3997809,cnl-brain9,155.198.99.250,23.2447669506073,1,-3.6,1f7ba_00122
123,2.0,2.0,41.79000000000082,0.002740047398715806,1.25,2.45,0.39013729130368535,1.5554151938107612,1759200223,,False,1,1f7ba_00123,2025-09-30_03-43-43,26.149956703186035,26.149956703186035,3997822,cnl-brain9,155.198.99.250,26.149956703186035,1,-3.5,1f7ba_00123
124,2.0,2.0,39.30000000000073,0.012296156802638958,1.25,2.5500000000000003,0.444600620446268,1.1923665490437265,1759200220,,False,1,1f7ba_00124,2025-09-30_03-43-40,23.122693061828613,23.122693061828613,3997817,cnl-brain9,155.198.99.250,23.122693061828613,1,-3.4,1f7ba_00124
125,2.0,2.0,39.990000000000755,0.014704201623978008,1.25,2.6500000000000004,0.40574752079565835,0.9050632690517504,1759200198,,False,1,1f7ba_00125,2025-09-30_03-43-18,19.44292664527893,19.44292664527893,3997847,cnl-brain9,155.198.99.250,19.44292664527893,1,-3.3,1f7ba_00125
126,2.0,2.0,39.90000000000075,-0.011551760403119005,1.25,-0.049999999999998934,0.38968559388780033,1.4153884047097955,1759200223,,False,1,1f7ba_00126,2025-09-30_03-43-43,25.939685821533203,25.939685821533203,3997845,cnl-brain9,155.198.99.250,25.939685821533203,1,-3.2,1f7ba_00126
127,2.0,2.0,39.57000000000074,0.013311321244629859,1.25,2.8500000000000005,0.5144072571920633,0.9433680187939407,1759200221,,False,1,1f7ba_00127,2025-09-30_03-43-41,23.550782918930054,23.550782918930054,3997808,cnl-brain9,155.198.99.250,23.550782918930054,1,-3.1,1f7ba_00127
128,2.0,2.0,40.20000000000076,0.0134169105095987,1.25,2.9500000000000006,0.551498033600599,0.9988522059392065,1759200223,,False,1,1f7ba_00128,2025-09-30_03-43-43,25.112702131271362,25.112702131271362,3997830,cnl-brain9,155.198.99.250,25.112702131271362,1,-3.0,1f7ba_00128
129,2.0,2.0,39.87000000000075,0.006619120161759362,1.25,-2.9499999999999993,0.5291074434245422,0.9514460445361218,1759200220,,False,1,1f7ba_00129,2025-09-30_03-43-40,22.229207038879395,22.229207038879395,3997834,cnl-brain9,155.198.99.250,22.229207038879395,1,-2.9,1f7ba_00129
130,2.0,2.0,39.51000000000074,0.004753084900181115,1.25,-0.049999999999998934,0.6131990799732367,1.1724943280057412,1759200223,,False,1,1f7ba_00130,2025-09-30_03-43-43,24.986253023147583,24.986253023147583,3997825,cnl-brain9,155.198.99.250,24.986253023147583,1,-2.8,1f7ba_00130
