,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/BTSP_lr_fact,config/inhibit_weight,config/regularization_alpha,logdir
20,1,0,0,1,0,0,5.0399999999999805,,,1.289066992683461,1.289066992683461,1.289066992683461,0.016133403204177776,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705295,,False,1,5c4fa_00020,2023-12-04_15-54-55,11.937669515609741,11.937669515609741,499182,cnl-brain9,155.198.99.250,11.937669515609741,1,20.0,1.4,0.5,5c4fa_00020
21,1,0,0,1,0,0,8.939999999999898,,,1.261325688241406,1.261325688241406,1.261325688241406,0.0057636900893979215,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705302,,False,1,5c4fa_00021,2023-12-04_15-55-02,25.397173643112183,25.397173643112183,499181,cnl-brain9,155.198.99.250,25.397173643112183,1,23.0,1.4,0.5,5c4fa_00021
22,1,0,0,1,0,0,5.259999999999976,,,1.3439578811614399,1.3439578811614399,1.3439578811614399,0.009917546677095879,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705299,,False,1,5c4fa_00022,2023-12-04_15-54-59,16.789644718170166,16.789644718170166,499180,cnl-brain9,155.198.99.250,16.789644718170166,1,26.0,1.4,0.5,5c4fa_00022
23,1,0,0,1,0,0,4.919999999999983,,,1.2097249131967163,1.2097249131967163,1.2097249131967163,0.0003812679269770136,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705283,,False,1,5c4fa_00023,2023-12-04_15-54-43,12.928105354309082,12.928105354309082,499184,cnl-brain9,155.198.99.250,12.928105354309082,1,29.0,1.4,0.5,5c4fa_00023
24,1,0,0,1,0,0,4.959999999999982,,,1.5106004174286658,1.5106004174286658,1.5106004174286658,0.019465900994613317,,,0.08624999999999994,0.08624999999999994,0.08624999999999994,1701705292,,False,1,5c4fa_00024,2023-12-04_15-54-52,19.109189748764038,19.109189748764038,499185,cnl-brain9,155.198.99.250,19.109189748764038,1,32.0,1.4,0.5,5c4fa_00024
25,1,2,1,1,2,1,5.239999999999976,24.119999999999575,46.88000000000173,1.3478260370103092,1.1467848959358045,0.9463580624391491,0.020324212568034183,-0.03566717780023765,-0.03335768581739773,0.08624999999999994,-0.03875000000000006,0.023749999999999938,1701705304,,False,1,5c4fa_00025,2023-12-04_15-55-04,27.29325294494629,27.29325294494629,499186,cnl-brain9,155.198.99.250,27.29325294494629,1,20.0,1.0,0.55,5c4fa_00025
26,1,2,1,1,2,1,5.119999999999979,24.499999999999567,52.82000000000266,1.2089839342657718,1.0868474293696788,0.7834234577527688,0.0012273199875688645,-0.03205550843102123,0.04570495930343743,0.08624999999999994,-0.03875000000000006,0.08624999999999994,1701705289,,False,1,5c4fa_00026,2023-12-04_15-54-49,11.711055994033813,11.711055994033813,499188,cnl-brain9,155.198.99.250,11.711055994033813,1,23.0,1.0,0.55,5c4fa_00026
27,1,2,1,1,2,1,5.379999999999973,23.81999999999958,46.7000000000017,1.5655079227405084,1.1801877289444864,0.9390411707241081,0.03142077613692906,-0.025663366155908918,-0.0368954126253388,0.08624999999999994,-0.03875000000000006,0.023749999999999938,1701705295,,False,1,5c4fa_00027,2023-12-04_15-54-55,21.553112030029297,21.553112030029297,499196,cnl-brain9,155.198.99.250,21.553112030029297,1,26.0,1.0,0.55,5c4fa_00027
28,1,2,1,1,2,1,5.07999999999998,24.599999999999564,53.180000000002714,1.4548166963372984,1.1492676707758498,0.784432625213201,0.023264107818195545,-0.042043554625540214,0.06498253435920853,0.08624999999999994,-0.03875000000000006,0.08624999999999994,1701705306,,False,1,5c4fa_00028,2023-12-04_15-55-06,24.21960711479187,24.21960711479187,499195,cnl-brain9,155.198.99.250,24.21960711479187,1,29.0,1.0,0.55,5c4fa_00028
29,1,2,1,1,2,1,5.119999999999979,24.019999999999577,46.78000000000171,1.3841876720763888,1.1801799736695684,0.7972144271991546,0.008164148996106735,-0.04660444040974854,0.05384190104734665,0.08624999999999994,-0.03875000000000006,0.08624999999999994,1701705300,,False,1,5c4fa_00029,2023-12-04_15-55-00,19.822500467300415,19.822500467300415,499194,cnl-brain9,155.198.99.250,19.822500467300415,1,32.0,1.0,0.55,5c4fa_00029
30,1,2,0,1,2,0,4.999999999999981,24.219999999999573,,1.2242249874776507,0.834406970536355,0.834406970536355,0.009357718040560403,-0.029428188145056655,,0.08624999999999994,0.023749999999999938,0.023749999999999938,1701705307,,False,1,5c4fa_00030,2023-12-04_15-55-07,26.23926615715027,26.23926615715027,499192,cnl-brain9,155.198.99.250,26.23926615715027,1,20.0,1.1,0.55,5c4fa_00030
31,1,2,0,1,2,0,5.07999999999998,24.41999999999957,,1.3119347159271306,0.8113837947211954,0.8113837947211954,0.012812229221469074,-0.03302139475627852,,0.08624999999999994,0.023749999999999938,0.023749999999999938,1701705299,,False,1,5c4fa_00031,2023-12-04_15-54-59,18.141989946365356,18.141989946365356,499191,cnl-brain9,155.198.99.250,18.141989946365356,1,23.0,1.1,0.55,5c4fa_00031
