,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
73,1,1,91.92000000000272,1.75,1.5080010060309397,0.04841520089336315,0.046875,1722392143,,False,1,bd2ac_00073,2024-07-31_03-15-43,9.312336444854736,9.312336444854736,54474,cnl-brain10,155.198.100.139,9.312336444854736,1,0.45,300.0,3.5,bd2ac_00073
74,1,1,91.4100000000027,1.75,0.8672637858263023,0.0645396713115094,0.140625,1722392144,,False,1,bd2ac_00074,2024-07-31_03-15-44,9.553818702697754,9.553818702697754,54333,cnl-brain10,155.198.100.139,9.553818702697754,1,0.5,300.0,3.5,bd2ac_00074
75,0,0,,0.0,,,,1722392144,,False,1,bd2ac_00075,2024-07-31_03-15-44,9.42210340499878,9.42210340499878,54492,cnl-brain10,155.198.100.139,9.42210340499878,1,0.3,300.0,3.0,bd2ac_00075
76,1,1,93.30000000000277,1.5,1.000269770084758,-0.007238810194259537,0.046875,1722392143,,False,1,bd2ac_00076,2024-07-31_03-15-43,8.9138925075531,8.9138925075531,54530,cnl-brain10,155.198.100.139,8.9138925075531,1,0.35,300.0,3.0,bd2ac_00076
77,1,1,94.2300000000028,1.75,1.4080665781472275,0.03524849331916391,0.046875,1722392149,,False,1,bd2ac_00077,2024-07-31_03-15-49,9.68451976776123,9.68451976776123,54454,cnl-brain10,155.198.100.139,9.68451976776123,1,0.4,300.0,3.0,bd2ac_00077
78,1,1,91.26000000000269,2.0,1.571233447047378,0.051087024279902415,0.046875,1722392148,,False,1,bd2ac_00078,2024-07-31_03-15-48,8.457743883132935,8.457743883132935,54434,cnl-brain10,155.198.100.139,8.457743883132935,1,0.45,300.0,3.0,bd2ac_00078
79,1,1,93.15000000000276,2.5,0.8396239031073747,0.06485381919988242,0.140625,1722392149,,False,1,bd2ac_00079,2024-07-31_03-15-49,8.847781896591187,8.847781896591187,54417,cnl-brain10,155.198.100.139,8.847781896591187,1,0.5,300.0,3.0,bd2ac_00079
80,0,0,,0.0,,,,1722392149,,False,1,bd2ac_00080,2024-07-31_03-15-49,8.834242343902588,8.834242343902588,54249,cnl-brain10,155.198.100.139,8.834242343902588,1,0.3,300.0,2.5,bd2ac_00080
81,1,1,93.21000000000276,2.0,1.0371233698047895,-0.003049531242073522,0.046875,1722392148,,False,1,bd2ac_00081,2024-07-31_03-15-48,7.8083720207214355,7.8083720207214355,54284,cnl-brain10,155.198.100.139,7.8083720207214355,1,0.35,300.0,2.5,bd2ac_00081
82,1,1,94.62000000000282,2.5,1.454880588199324,0.036743206510847504,0.046875,1722392149,,False,1,bd2ac_00082,2024-07-31_03-15-49,7.942707300186157,7.942707300186157,54451,cnl-brain10,155.198.100.139,7.942707300186157,1,0.4,300.0,2.5,bd2ac_00082
83,1,1,94.2600000000028,3.25,0.8704526742037687,0.049885022448759475,0.140625,1722392150,,False,1,bd2ac_00083,2024-07-31_03-15-50,8.40260362625122,8.40260362625122,54452,cnl-brain10,155.198.100.139,8.40260362625122,1,0.45,300.0,2.5,bd2ac_00083
84,1,1,93.69000000000278,3.5,0.8878263813886391,0.0660258650723684,0.140625,1722392151,,False,1,bd2ac_00084,2024-07-31_03-15-51,9.405629396438599,9.405629396438599,54531,cnl-brain10,155.198.100.139,9.405629396438599,1,0.5,300.0,2.5,bd2ac_00084
85,0,0,,0.0,,,,1722392151,,False,1,bd2ac_00085,2024-07-31_03-15-51,9.677895307540894,9.677895307540894,54416,cnl-brain10,155.198.100.139,9.677895307540894,1,0.3,300.0,2.0,bd2ac_00085
86,1,1,94.1400000000028,2.5,1.0479678550058216,0.007444083158166803,0.046875,1722392151,,False,1,bd2ac_00086,2024-07-31_03-15-51,9.436959505081177,9.436959505081177,54473,cnl-brain10,155.198.100.139,9.436959505081177,1,0.35,300.0,2.0,bd2ac_00086
87,1,1,92.88000000000275,3.25,1.560298851869683,0.03994587071421063,0.046875,1722392151,,False,1,bd2ac_00087,2024-07-31_03-15-51,9.121962785720825,9.121962785720825,54179,cnl-brain10,155.198.100.139,9.121962785720825,1,0.4,300.0,2.0,bd2ac_00087
88,1,1,92.19000000000273,4.0,0.7502718855121612,0.05831893624908746,0.140625,1722392150,,False,1,bd2ac_00088,2024-07-31_03-15-50,8.269937992095947,8.269937992095947,54540,cnl-brain10,155.198.100.139,8.269937992095947,1,0.45,300.0,2.0,bd2ac_00088
89,1,1,89.94000000000264,4.5,0.8650544990016135,0.0729702943513848,0.140625,1722392150,,False,1,bd2ac_00089,2024-07-31_03-15-50,8.662519931793213,8.662519931793213,54532,cnl-brain10,155.198.100.139,8.662519931793213,1,0.5,300.0,2.0,bd2ac_00089
90,0,0,,0.0,,,,1722392141,,False,1,bd2ac_00090,2024-07-31_03-15-41,7.236640453338623,7.236640453338623,54531,cnl-brain10,155.198.100.139,7.236640453338623,1,0.3,350.0,4.5,bd2ac_00090
91,0,0,,0.0,,,,1722392150,,False,1,bd2ac_00091,2024-07-31_03-15-50,7.845154285430908,7.845154285430908,54494,cnl-brain10,155.198.100.139,7.845154285430908,1,0.35,350.0,4.5,bd2ac_00091
92,1,1,93.93000000000279,1.0,1.3014844241641355,0.022574343973640332,0.046875,1722392150,,False,1,bd2ac_00092,2024-07-31_03-15-50,7.68683123588562,7.68683123588562,54453,cnl-brain10,155.198.100.139,7.68683123588562,1,0.4,350.0,4.5,bd2ac_00092
93,1,1,93.06000000000276,1.25,0.8390662607094973,0.04250818738892814,0.140625,1722392150,,False,1,bd2ac_00093,2024-07-31_03-15-50,8.20804214477539,8.20804214477539,54114,cnl-brain10,155.198.100.139,8.20804214477539,1,0.45,350.0,4.5,bd2ac_00093
94,1,1,91.3200000000027,1.5,1.6259394056585996,0.05866200046944581,0.046875,1722392151,,False,1,bd2ac_00094,2024-07-31_03-15-51,8.783289909362793,8.783289909362793,54527,cnl-brain10,155.198.100.139,8.783289909362793,1,0.5,350.0,4.5,bd2ac_00094
95,0,0,,0.0,,,,1722392152,,False,1,bd2ac_00095,2024-07-31_03-15-52,9.34057903289795,9.34057903289795,54491,cnl-brain10,155.198.100.139,9.34057903289795,1,0.3,350.0,4.0,bd2ac_00095
96,0,0,,0.0,,,,1722392151,,False,1,bd2ac_00096,2024-07-31_03-15-51,8.702573299407959,8.702573299407959,54537,cnl-brain10,155.198.100.139,8.702573299407959,1,0.35,350.0,4.0,bd2ac_00096
97,1,1,94.1700000000028,1.25,1.314799518495683,0.028400621620455535,0.046875,1722392152,,False,1,bd2ac_00097,2024-07-31_03-15-52,9.040642976760864,9.040642976760864,54533,cnl-brain10,155.198.100.139,9.040642976760864,1,0.4,350.0,4.0,bd2ac_00097
98,1,1,94.53000000000281,1.5,0.8004128704337022,0.047934104952737755,0.140625,1722392152,,False,1,bd2ac_00098,2024-07-31_03-15-52,9.344596862792969,9.344596862792969,54455,cnl-brain10,155.198.100.139,9.344596862792969,1,0.45,350.0,4.0,bd2ac_00098
99,1,1,94.3200000000028,1.5,0.8279055721629431,0.0603009605574063,0.140625,1722392143,,False,1,bd2ac_00099,2024-07-31_03-15-43,9.247289419174194,9.247289419174194,54538,cnl-brain10,155.198.100.139,9.247289419174194,1,0.5,350.0,4.0,bd2ac_00099
