,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/PC_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/PC_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
72,0,0,,0.75,,,,1746727249,,False,1,4e41c_00072,2025-05-08_19-00-49,24.395514011383057,24.395514011383057,2763300,cnl-brain9,155.198.99.250,24.395514011383057,1,0.15,0.4,1.8,4e41c_00072
73,1,1,55.71000000000135,1.0,0.939093099403555,-0.011163838527809666,0.049999999999998934,1746727250,,False,1,4e41c_00073,2025-05-08_19-00-50,25.43493127822876,25.43493127822876,2763303,cnl-brain9,155.198.99.250,25.43493127822876,1,0.15,0.5,1.8,4e41c_00073
74,1,1,53.01000000000125,1.0,0.9395035718986253,-0.007791918881773441,0.049999999999998934,1746727247,,False,1,4e41c_00074,2025-05-08_19-00-47,22.119107007980347,22.119107007980347,2763306,cnl-brain9,155.198.99.250,22.119107007980347,1,0.15,0.6,1.8,4e41c_00074
75,6,2,54.780000000001316,17.5,0.9098959060303848,9.211459120495036e-05,0.14999999999999902,1746727252,,False,1,4e41c_00075,2025-05-08_19-00-52,27.58147644996643,27.58147644996643,2763308,cnl-brain9,155.198.99.250,27.58147644996643,1,0.16999999999999998,0.2,0.6,4e41c_00075
76,6,3,56.19000000000137,18.25,0.905224255132824,-0.010743137864854369,0.14999999999999902,1746727245,,False,1,4e41c_00076,2025-05-08_19-00-45,20.130884647369385,20.130884647369385,2763312,cnl-brain9,155.198.99.250,20.130884647369385,1,0.16999999999999998,0.3,0.6,4e41c_00076
77,6,3,56.580000000001384,18.75,0.926138788193264,-0.007431875541736854,0.14999999999999902,1746727246,,False,1,4e41c_00077,2025-05-08_19-00-46,21.37435269355774,21.37435269355774,2763315,cnl-brain9,155.198.99.250,21.37435269355774,1,0.16999999999999998,0.4,0.6,4e41c_00077
78,6,2,55.23000000000133,18.0,0.895903167526098,0.006089317005018913,0.14999999999999902,1746727247,,False,1,4e41c_00078,2025-05-08_19-00-47,22.341177940368652,22.341177940368652,2763317,cnl-brain9,155.198.99.250,22.341177940368652,1,0.16999999999999998,0.5,0.6,4e41c_00078
79,6,2,55.92000000000136,20.75,0.9578149993831107,0.0022935650307687183,0.14999999999999902,1746727247,,False,1,4e41c_00079,2025-05-08_19-00-47,22.88554096221924,22.88554096221924,2763319,cnl-brain9,155.198.99.250,22.88554096221924,1,0.16999999999999998,0.6,0.6,4e41c_00079
80,1,1,55.50000000000134,1.25,0.9506705490777003,-0.000928527635991383,0.049999999999998934,1746727247,,False,1,4e41c_00080,2025-05-08_19-00-47,22.31986093521118,22.31986093521118,2763320,cnl-brain9,155.198.99.250,22.31986093521118,1,0.16999999999999998,0.2,0.8,4e41c_00080
81,2,1,54.990000000001324,1.5,0.9116669321737996,-0.0020140901109710896,0.049999999999998934,1746727250,,False,1,4e41c_00081,2025-05-08_19-00-50,25.177472352981567,25.177472352981567,2763321,cnl-brain9,155.198.99.250,25.177472352981567,1,0.16999999999999998,0.3,0.8,4e41c_00081
82,6,3,55.47000000000134,17.25,0.8867567212987603,0.005578173232942962,0.14999999999999902,1746727244,,False,1,4e41c_00082,2025-05-08_19-00-44,19.29974913597107,19.29974913597107,2763324,cnl-brain9,155.198.99.250,19.29974913597107,1,0.16999999999999998,0.4,0.8,4e41c_00082
83,6,3,56.640000000001386,16.5,0.9125127554945519,0.0004505388751856465,0.14999999999999902,1746727248,,False,1,4e41c_00083,2025-05-08_19-00-48,23.69732904434204,23.69732904434204,2763329,cnl-brain9,155.198.99.250,23.69732904434204,1,0.16999999999999998,0.5,0.8,4e41c_00083
84,4,2,55.050000000001326,11.75,0.9441389049327926,-0.0037301699968756985,0.049999999999998934,1746727252,,False,1,4e41c_00084,2025-05-08_19-00-52,26.93146252632141,26.93146252632141,2763331,cnl-brain9,155.198.99.250,26.93146252632141,1,0.16999999999999998,0.6,0.8,4e41c_00084
85,1,1,175.56000000000589,1.0,0.9590348817744253,-0.004299607586782717,0.049999999999998934,1746727244,,False,1,4e41c_00085,2025-05-08_19-00-44,19.859912395477295,19.859912395477295,2763333,cnl-brain9,155.198.99.250,19.859912395477295,1,0.16999999999999998,0.2,1.0,4e41c_00085
86,1,1,55.98000000000136,1.25,0.9623830073438118,-0.009841671312306843,0.049999999999998934,1746727249,,False,1,4e41c_00086,2025-05-08_19-00-49,24.671003580093384,24.671003580093384,2763336,cnl-brain9,155.198.99.250,24.671003580093384,1,0.16999999999999998,0.3,1.0,4e41c_00086
87,1,1,54.780000000001316,1.5,0.9544442712339676,-0.0025622217645131506,0.049999999999998934,1746727246,,False,1,4e41c_00087,2025-05-08_19-00-46,21.891972064971924,21.891972064971924,2763341,cnl-brain9,155.198.99.250,21.891972064971924,1,0.16999999999999998,0.4,1.0,4e41c_00087
