,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/CA3_weight_ratio_pre_post_(single),metric/CA3_weight_ratio_pre_post_(reverse),metric/CA3_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/CA3_weight_peak_relative_position_(single),metric/CA3_weight_peak_relative_position_(reverse),metric/CA3_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
1088,1,1,2,1,1,2,77.46000000000217,217.77000000000749,385.2299999998914,3.0,3.0,2.25,0.8234744610213953,1.4261299083857377,1.7101395925124547,0.08617935910866228,-0.07781009667534278,0.08414199104869535,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705274156,,False,1,c8ec7_01088,2024-01-14_23-15-56,24.87866520881653,24.87866520881653,79828,cnl-brain10,155.198.100.139,24.87866520881653,1,0.6499999999999999,150.0,4.0,c8ec7_01088
1089,1,1,1,1,1,1,79.53000000000225,251.85000000000878,420.7499999998591,3.25,3.0,2.0,1.0480989895844377,1.2101079658029095,1.6208360716342474,0.08685309323357202,-0.09001919947126402,0.0916554607182326,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274156,,False,1,c8ec7_01089,2024-01-14_23-15-56,25.036969423294067,25.036969423294067,80105,cnl-brain10,155.198.100.139,25.036969423294067,1,0.7,150.0,4.0,c8ec7_01089
1090,1,1,2,1,1,2,78.03000000000219,292.6199999999756,386.1899999998905,3.5,3.0,2.5,0.7075307587505987,0.3928801123716246,1.7599920446794575,0.05767289032394474,-0.0569079996409102,0.058629619228968144,0.19270833333333331,-0.13020833333333337,-0.22395833333333337,1705274156,,False,1,c8ec7_01090,2024-01-14_23-15-56,24.826303482055664,24.826303482055664,80103,cnl-brain10,155.198.100.139,24.826303482055664,1,0.5,150.0,3.5,c8ec7_01090
1091,1,1,1,1,1,1,81.36000000000232,253.41000000000884,420.2099999998596,3.5,3.0,2.5,0.8370626479977238,1.6054044903748619,1.169201799021267,0.06566735805679164,-0.0642695186800274,0.06789718422396374,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274157,,False,1,c8ec7_01091,2024-01-14_23-15-57,25.158260107040405,25.158260107040405,80106,cnl-brain10,155.198.100.139,25.158260107040405,1,0.55,150.0,3.5,c8ec7_01091
1092,1,1,1,1,1,1,77.43000000000217,214.29000000000735,419.5199999998602,3.75,3.25,2.5,0.9057397487853166,0.26963637304379834,1.4033439465795763,0.07524312990149751,-0.07606908672929558,0.07481303800881733,0.19270833333333331,-0.13020833333333337,0.15104166666666663,1705274157,,False,1,c8ec7_01092,2024-01-14_23-15-57,23.89443588256836,23.89443588256836,80112,cnl-brain10,155.198.100.139,23.89443588256836,1,0.6,150.0,3.5,c8ec7_01092
1093,1,1,1,1,1,1,78.99000000000223,251.28000000000876,419.90999999985985,3.75,3.5,2.75,0.8941523306239948,1.5150696679350268,1.6509958578464214,0.08810971417168839,-0.081865138865727,0.08013271904817187,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274157,,False,1,c8ec7_01093,2024-01-14_23-15-57,23.79855179786682,23.79855179786682,80096,cnl-brain10,155.198.100.139,23.79855179786682,1,0.6499999999999999,150.0,3.5,c8ec7_01093
1094,1,1,2,1,1,2,76.74000000000214,217.9500000000075,387.1799999998896,3.75,3.5,2.75,1.0783755620510975,1.3966841391999751,1.2708187247645828,0.08902704309156823,-0.09176201015696406,0.08968065722153351,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705274158,,False,1,c8ec7_01094,2024-01-14_23-15-58,24.615845918655396,24.615845918655396,80084,cnl-brain10,155.198.100.139,24.615845918655396,1,0.7,150.0,3.5,c8ec7_01094
1095,1,0,0,1,0,0,79.14000000000223,,,4.0,0.75,0.75,0.8077709397633128,0.8077709397633128,0.8077709397633128,0.05548621719336716,,,0.19270833333333331,0.5260416666666666,0.5260416666666666,1705274158,,False,1,c8ec7_01095,2024-01-14_23-15-58,24.79686689376831,24.79686689376831,79824,cnl-brain10,155.198.100.139,24.79686689376831,1,0.5,150.0,3.0,c8ec7_01095
1096,1,1,2,1,1,2,77.13000000000216,221.37000000000762,387.14999999988964,4.25,3.75,3.25,0.710739029972346,1.652150607797235,1.967188862753036,0.07010603448598046,-0.06674449710869079,0.06972140530466953,0.19270833333333331,-0.22395833333333337,-0.22395833333333337,1705274159,,False,1,c8ec7_01096,2024-01-14_23-15-59,24.66642189025879,24.66642189025879,80087,cnl-brain10,155.198.100.139,24.66642189025879,1,0.55,150.0,3.0,c8ec7_01096
1097,1,1,1,1,1,1,78.1800000000022,253.65000000000884,420.14999999985963,4.25,4.0,3.25,0.8737496322565901,1.628748440173156,1.2060511321134357,0.08039508167194881,-0.07583666433526304,0.08041046327091361,0.19270833333333331,-0.22395833333333337,0.15104166666666663,1705274158,,False,1,c8ec7_01097,2024-01-14_23-15-58,23.167083740234375,23.167083740234375,79674,cnl-brain10,155.198.100.139,23.167083740234375,1,0.6,150.0,3.0,c8ec7_01097
