,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
32,1,1,0,1,1,0,78.63000000000221,215.94000000000742,,1.25,1.25,0.0,0.8036351840421284,0.7876275490237087,0.7876275490237087,0.022977564194262223,-0.03323404896359283,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394286,,False,1,b6dad_00032,2024-07-31_03-51-26,23.859771251678467,23.859771251678467,71564,cnl-brain10,155.198.100.139,23.859771251678467,1,0.4,250.0,4.5,b6dad_00032
33,1,1,0,1,1,0,78.1200000000022,253.47000000000884,,1.25,1.5,0.0,1.0253234251402832,1.2761445490364411,1.2761445490364411,0.04513113190284612,-0.04721371771582272,,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394287,,False,1,b6dad_00033,2024-07-31_03-51-27,25.27074885368347,25.27074885368347,71560,cnl-brain10,155.198.100.139,25.27074885368347,1,0.45,250.0,4.5,b6dad_00033
34,1,1,0,1,1,0,79.86000000000226,250.44000000000872,,1.25,1.5,0.0,1.124926244444708,1.1589726301310956,1.1589726301310956,0.061719992061101736,-0.06298319066703784,,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394288,,False,1,b6dad_00034,2024-07-31_03-51-28,25.795607089996338,25.795607089996338,71558,cnl-brain10,155.198.100.139,25.795607089996338,1,0.5,250.0,4.5,b6dad_00034
35,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394285,,False,1,b6dad_00035,2024-07-31_03-51-25,23.299164533615112,23.299164533615112,71556,cnl-brain10,155.198.100.139,23.299164533615112,1,0.3,250.0,4.0,b6dad_00035
36,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394284,,False,1,b6dad_00036,2024-07-31_03-51-24,22.2977294921875,22.2977294921875,71554,cnl-brain10,155.198.100.139,22.2977294921875,1,0.35,250.0,4.0,b6dad_00036
37,1,1,0,1,1,0,76.74000000000214,218.4600000000075,,1.25,1.5,0.0,0.833961654050048,0.8429855803410411,0.8429855803410411,0.029362331772743888,-0.0297161952752929,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394287,,False,1,b6dad_00037,2024-07-31_03-51-27,25.624189853668213,25.624189853668213,71573,cnl-brain10,155.198.100.139,25.624189853668213,1,0.4,250.0,4.0,b6dad_00037
38,1,1,0,1,1,0,78.4500000000022,252.5400000000088,,1.5,1.75,0.0,1.0023212729842603,1.2544232590673932,1.2544232590673932,0.049190450688243736,-0.0518499758582569,,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394288,,False,1,b6dad_00038,2024-07-31_03-51-28,26.592409133911133,26.592409133911133,71579,cnl-brain10,155.198.100.139,26.592409133911133,1,0.45,250.0,4.0,b6dad_00038
39,1,1,0,1,1,0,77.52000000000217,217.32000000000747,,1.75,2.0,0.0,1.2226657171544073,1.097536760989647,1.097536760989647,0.06112982379213894,-0.061558257992762266,,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394286,,False,1,b6dad_00039,2024-07-31_03-51-26,24.925660133361816,24.925660133361816,71577,cnl-brain10,155.198.100.139,24.925660133361816,1,0.5,250.0,4.0,b6dad_00039
40,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394309,,False,1,b6dad_00040,2024-07-31_03-51-49,25.430315494537354,25.430315494537354,71554,cnl-brain10,155.198.100.139,25.430315494537354,1,0.3,250.0,3.5,b6dad_00040
41,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394309,,False,1,b6dad_00041,2024-07-31_03-51-49,24.52738380432129,24.52738380432129,71538,cnl-brain10,155.198.100.139,24.52738380432129,1,0.35,250.0,3.5,b6dad_00041
42,1,1,0,1,1,0,80.04000000000227,254.22000000000887,,1.5,1.75,0.0,0.8902488113369855,0.7191940823652324,0.7191940823652324,0.030445300980604995,-0.03369136683331242,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394308,,False,1,b6dad_00042,2024-07-31_03-51-48,22.68884301185608,22.68884301185608,71545,cnl-brain10,155.198.100.139,22.68884301185608,1,0.4,250.0,3.5,b6dad_00042
43,1,1,0,1,1,0,79.11000000000223,254.55000000000888,,2.0,2.0,0.0,0.9823684546242634,1.2666830926888943,1.2666830926888943,0.05033245807905423,-0.05625593955821351,,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394311,,False,1,b6dad_00043,2024-07-31_03-51-51,25.87557315826416,25.87557315826416,71567,cnl-brain10,155.198.100.139,25.87557315826416,1,0.45,250.0,3.5,b6dad_00043
44,1,1,1,1,1,1,76.56000000000213,221.67000000000763,388.8299999998881,2.0,2.25,1.25,1.1575055492541222,1.0930103706325922,1.3144238497797092,0.0592108710516735,-0.06070519386041495,0.08627230209459424,0.09895833333333331,-0.13020833333333337,0.05729166666666663,1722394309,,False,1,b6dad_00044,2024-07-31_03-51-49,23.81752038002014,23.81752038002014,71493,cnl-brain10,155.198.100.139,23.81752038002014,1,0.5,250.0,3.5,b6dad_00044
45,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394309,,False,1,b6dad_00045,2024-07-31_03-51-49,24.33236527442932,24.33236527442932,71546,cnl-brain10,155.198.100.139,24.33236527442932,1,0.3,250.0,3.0,b6dad_00045
46,1,1,0,1,1,0,78.78000000000222,218.67000000000752,,1.5,1.75,0.0,1.4306404136556023,1.0169997548895973,1.0169997548895973,-0.010612528683001443,-0.005702749405776419,,0.005208333333333315,-0.03645833333333337,-0.03645833333333337,1722394309,,False,1,b6dad_00046,2024-07-31_03-51-49,23.820814609527588,23.820814609527588,71382,cnl-brain10,155.198.100.139,23.820814609527588,1,0.35,250.0,3.0,b6dad_00046
47,1,1,0,1,1,0,79.53000000000225,218.2800000000075,,2.0,2.25,0.0,0.9254770235632929,0.7949434698672011,0.7949434698672011,0.03403207857558482,-0.03457053931422738,,0.09895833333333331,-0.03645833333333337,-0.03645833333333337,1722394312,,False,1,b6dad_00047,2024-07-31_03-51-52,26.434449195861816,26.434449195861816,71543,cnl-brain10,155.198.100.139,26.434449195861816,1,0.4,250.0,3.0,b6dad_00047
48,1,1,1,1,1,1,80.13000000000227,251.88000000000878,419.33999999986037,2.25,2.25,1.5,1.0578627483934637,1.303073510277958,1.303073510277958,0.05239316692553031,-0.05552438462161191,0.0794712308928287,0.09895833333333331,-0.13020833333333337,-0.13020833333333337,1722394309,,False,1,b6dad_00048,2024-07-31_03-51-49,23.701001167297363,23.701001167297363,71564,cnl-brain10,155.198.100.139,23.701001167297363,1,0.45,250.0,3.0,b6dad_00048
49,1,1,1,1,1,1,79.14000000000223,217.14000000000746,385.4699999998912,2.5,2.75,1.5,1.2756114205933162,1.119529068314957,1.3210327246904856,0.06391556115630792,-0.06541827424891122,0.091021424488962,0.09895833333333331,-0.13020833333333337,0.05729166666666663,1722394313,,False,1,b6dad_00049,2024-07-31_03-51-53,27.162188291549683,27.162188291549683,71492,cnl-brain10,155.198.100.139,27.162188291549683,1,0.5,250.0,3.0,b6dad_00049
50,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722394310,,False,1,b6dad_00050,2024-07-31_03-51-50,24.090185165405273,24.090185165405273,71494,cnl-brain10,155.198.100.139,24.090185165405273,1,0.3,250.0,2.5,b6dad_00050
