,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_regularization_alpha,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
31,4,3,1,2,1,1,38.04000000000068,324.14999999994694,702.5999999996028,2.0,1.5,1.75,0.9854421682238307,0.814222325678575,1.0955717591135046,-0.0595895648141358,-0.011394197140953022,-0.027670044185020393,0.016666666666666385,0.016666666666666385,-0.0833333333333337,1740567894,,False,1,68432_00031,2025-02-26_11-04-54,40.809436559677124,40.809436559677124,988863,cnl-brain9,155.198.99.250,40.809436559677124,1,0.5,75.0,1.3,68432_00031
32,3,1,1,1,1,1,38.670000000000705,501.6599999997855,633.8099999996654,1.5,1.25,1.0,1.0127478312178833,0.973898798367092,0.9756048119912559,-0.059695060014130163,0.04911774561160076,0.01967497396967799,0.11666666666666647,0.21666666666666634,0.016666666666666385,1740567894,,False,1,68432_00032,2025-02-26_11-04-54,40.77308177947998,40.77308177947998,988864,cnl-brain9,155.198.99.250,40.77308177947998,1,0.5,75.0,1.8,68432_00032
33,1,1,0,1,1,0,73.29000000000201,316.34999999995404,,1.0,1.0,0.0,0.965853768512653,0.9656094646657201,0.9656094646657201,-0.056242795638293375,0.02188756186681262,,0.31666666666666643,0.11666666666666647,0.11666666666666647,1740567891,,False,1,68432_00033,2025-02-26_11-04-51,38.028430223464966,38.028430223464966,988865,cnl-brain9,155.198.99.250,38.028430223464966,1,0.5,75.0,3.0,68432_00033
34,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567890,,False,1,68432_00034,2025-02-26_11-04-50,36.920612812042236,36.920612812042236,988866,cnl-brain9,155.198.99.250,36.920612812042236,1,0.5,75.0,5.0,68432_00034
35,4,5,7,1,2,2,34.92000000000056,286.85999999998086,566.9399999997262,3.5,7.0,8.0,1.0342259192394294,0.9024011519704613,0.9567660645125283,0.011092403078192259,0.010589871618511992,0.044158193886128405,0.11666666666666647,-0.0833333333333337,0.11666666666666647,1740567894,,False,1,68432_00035,2025-02-26_11-04-54,40.2722954750061,40.2722954750061,988867,cnl-brain9,155.198.99.250,40.2722954750061,1,0.5,100.0,0.8,68432_00035
36,1,2,2,1,1,1,37.17000000000065,285.77999999998184,553.5899999997383,1.5,2.0,1.25,1.0497596193723482,0.9237858619981778,1.0593562169748179,-0.06594442267045375,-0.006719515277931354,-0.05464687671365365,0.21666666666666634,0.016666666666666385,0.016666666666666385,1740567893,,False,1,68432_00036,2025-02-26_11-04-53,39.24334740638733,39.24334740638733,988868,cnl-brain9,155.198.99.250,39.24334740638733,1,0.5,100.0,1.3,68432_00036
37,2,1,0,1,1,0,37.71000000000067,369.7199999999055,,1.25,1.0,0.75,0.9173970717119001,0.9904762584014956,0.9904762584014956,-0.04019500859042746,0.0366720965384677,,0.016666666666666385,0.016666666666666385,0.016666666666666385,1740567893,,False,1,68432_00037,2025-02-26_11-04-53,39.88288068771362,39.88288068771362,988869,cnl-brain9,155.198.99.250,39.88288068771362,1,0.5,100.0,1.8,68432_00037
38,1,0,0,1,0,0,69.39000000000186,,,1.0,0.0,0.0,0.9353374309815687,0.9353374309815687,0.9353374309815687,-0.020874449788200078,,,0.11666666666666647,0.11666666666666647,0.11666666666666647,1740567893,,False,1,68432_00038,2025-02-26_11-04-53,39.56856441497803,39.56856441497803,988870,cnl-brain9,155.198.99.250,39.56856441497803,1,0.5,100.0,3.0,68432_00038
39,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1740567892,,False,1,68432_00039,2025-02-26_11-04-52,38.526769399642944,38.526769399642944,988871,cnl-brain9,155.198.99.250,38.526769399642944,1,0.5,100.0,5.0,68432_00039
40,4,6,9,1,2,1,38.700000000000706,312.80999999995726,567.4799999997257,2.5,6.25,6.0,0.9144131834984102,0.9280557707913544,1.1560251664611612,-0.03278810482161543,-0.09020105750938989,0.013956634889536801,0.11666666666666647,-0.18333333333333357,0.016666666666666385,1740567893,,False,1,68432_00040,2025-02-26_11-04-53,39.34067678451538,39.34067678451538,988872,cnl-brain9,155.198.99.250,39.34067678451538,1,0.5,125.0,0.8,68432_00040
41,2,1,3,1,1,1,34.470000000000546,312.5399999999575,690.8099999996135,2.25,1.25,2.0,1.0743746904378877,1.1941963504115005,0.9957860755769995,0.002301028462420085,-0.06004771169662049,-0.0021979496102182416,0.016666666666666385,-0.0833333333333337,-0.0833333333333337,1740567893,,False,1,68432_00041,2025-02-26_11-04-53,39.844674825668335,39.844674825668335,988873,cnl-brain9,155.198.99.250,39.844674825668335,1,0.5,125.0,1.3,68432_00041
42,1,2,0,1,1,0,38.130000000000685,465.2399999998186,,1.75,1.25,0.0,0.9572321233039932,1.0210129435746025,1.0356055641197053,0.01260742404255688,0.05010219400632243,,0.11666666666666647,0.11666666666666647,0.016666666666666385,1740567893,,False,1,68432_00042,2025-02-26_11-04-53,39.804774045944214,39.804774045944214,988874,cnl-brain9,155.198.99.250,39.804774045944214,1,0.5,125.0,1.8,68432_00042
