,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_FWHM_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_FWHM_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_FWHM_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr,config/inhibit_input_filter_tau,config/inhibit_weight,logdir
20,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,0.0,0.0,,,0.75,,0.0,,1748700693,,False,1,f444b_00020,2025-05-31_15-11-33,82.71820425987244,82.71820425987244,1539322,cnl-brain9,155.198.99.250,82.71820425987244,1,0.12,0.2,1.2,f444b_00020
21,1.0,1.0,55.44000000000134,0.00826962496338668,1.0,-0.049999999999998934,0.6966562568699448,1.1388021392159584,0.0,0.0,,,0.0,-0.049999999999998934,0.6966562568699448,1.1388021392159584,0.0,0.0,,,0.0,-0.049999999999998934,0.6966562568699448,1.1388021392159584,1748700689,,False,1,f444b_00021,2025-05-31_15-11-29,78.58908128738403,78.58908128738403,1539323,cnl-brain9,155.198.99.250,78.58908128738403,1,0.12,0.25,1.2,f444b_00021
22,1.0,1.0,56.16000000000137,0.007849745199987712,1.0,-0.049999999999998934,0.6930296659331305,1.1292299089880073,0.0,0.0,,,0.0,-0.049999999999998934,0.6930296659331305,1.1292299089880073,0.0,0.0,,,0.0,-0.049999999999998934,0.6930296659331305,1.1292299089880073,1748700686,,False,1,f444b_00022,2025-05-31_15-11-26,75.40152859687805,75.40152859687805,1539324,cnl-brain9,155.198.99.250,75.40152859687805,1,0.12,0.30000000000000004,1.2,f444b_00022
23,1.0,1.0,54.87000000000132,0.0077455018362244665,1.0,-0.049999999999998934,0.6581553212807796,1.1436159252151181,0.0,0.0,,,0.0,-0.049999999999998934,0.6581553212807796,1.1436159252151181,0.0,0.0,,,0.0,-0.049999999999998934,0.6581553212807796,1.1436159252151181,1748700686,,False,1,f444b_00023,2025-05-31_15-11-26,75.36397409439087,75.36397409439087,1539325,cnl-brain9,155.198.99.250,75.36397409439087,1,0.12,0.35000000000000003,1.2,f444b_00023
24,1.0,1.0,55.320000000001336,0.002258774512510886,1.25,-0.049999999999998934,0.6221540935801437,1.1387318113537195,0.0,0.0,,,0.0,-0.049999999999998934,0.6221540935801437,1.1387318113537195,0.0,0.0,,,0.0,-0.049999999999998934,0.6221540935801437,1.1387318113537195,1748700685,,False,1,f444b_00024,2025-05-31_15-11-25,74.05753970146179,74.05753970146179,1539326,cnl-brain9,155.198.99.250,74.05753970146179,1,0.12,0.4,1.2,f444b_00024
25,2.0,2.0,53.970000000001285,-0.000519535350052891,1.25,-0.049999999999998934,0.6666056031634504,1.286844301574906,0.0,0.0,,,0.0,-0.049999999999998934,0.6666056031634504,1.286844301574906,0.0,0.0,,,0.0,-0.049999999999998934,0.6666056031634504,1.286844301574906,1748700697,,False,1,f444b_00025,2025-05-31_15-11-37,86.19216585159302,86.19216585159302,1539327,cnl-brain9,155.198.99.250,86.19216585159302,1,0.15,0.2,0.8,f444b_00025
26,2.0,1.0,56.610000000001385,0.004129341196587699,1.25,-0.049999999999998934,0.6559462161683665,1.2429102343238803,0.0,0.0,,,0.0,-0.049999999999998934,0.6559462161683665,1.2429102343238803,0.0,0.0,,,0.0,-0.049999999999998934,0.6559462161683665,1.2429102343238803,1748700694,,False,1,f444b_00026,2025-05-31_15-11-34,83.52636766433716,83.52636766433716,1539328,cnl-brain9,155.198.99.250,83.52636766433716,1,0.15,0.25,0.8,f444b_00026
27,2.0,2.0,56.82000000000139,0.007720169402367638,1.5,-0.049999999999998934,0.6684453335306202,1.3057915543709155,0.0,0.0,,,0.0,-0.049999999999998934,0.6684453335306202,1.3057915543709155,0.0,0.0,,,0.0,-0.049999999999998934,0.6684453335306202,1.3057915543709155,1748700696,,False,1,f444b_00027,2025-05-31_15-11-36,84.52284836769104,84.52284836769104,1539329,cnl-brain9,155.198.99.250,84.52284836769104,1,0.15,0.30000000000000004,0.8,f444b_00027
28,2.0,2.0,53.88000000000128,-1.5653738484111557e-05,1.75,-0.049999999999998934,0.6509244514389185,1.3155601540510313,0.0,0.0,,,0.0,-0.049999999999998934,0.6509244514389185,1.3155601540510313,0.0,0.0,,,0.0,-0.049999999999998934,0.6509244514389185,1.3155601540510313,1748700690,,False,1,f444b_00028,2025-05-31_15-11-30,79.52907109260559,79.52907109260559,1539330,cnl-brain9,155.198.99.250,79.52907109260559,1,0.15,0.35000000000000003,0.8,f444b_00028
29,2.0,2.0,54.54000000000131,0.006818997880865485,1.5,-0.049999999999998934,0.6664840103178644,1.2841902417851618,1.0,1.0,455.9099999998271,-0.0017129711050292151,1.25,-0.049999999999998934,0.663972541684239,1.0993140721909,0.0,0.0,,,0.75,-0.049999999999998934,0.663972541684239,1.0993140721909,1748700695,,False,1,f444b_00029,2025-05-31_15-11-35,84.20915269851685,84.20915269851685,1539331,cnl-brain9,155.198.99.250,84.20915269851685,1,0.15,0.4,0.8,f444b_00029
30,1.0,1.0,55.14000000000133,-0.0031788802139476324,1.0,-0.049999999999998934,0.627755824625174,1.1774901430765088,0.0,0.0,,,0.0,-0.049999999999998934,0.627755824625174,1.1774901430765088,0.0,0.0,,,0.0,-0.049999999999998934,0.627755824625174,1.1774901430765088,1748700693,,False,1,f444b_00030,2025-05-31_15-11-33,82.28086256980896,82.28086256980896,1539332,cnl-brain9,155.198.99.250,82.28086256980896,1,0.15,0.2,0.9,f444b_00030
31,1.0,1.0,55.77000000000135,0.00482973890167937,1.25,-0.049999999999998934,0.6614900838237636,1.1857484849811308,0.0,0.0,,,0.75,-0.049999999999998934,0.6614900838237636,1.1857484849811308,0.0,0.0,,,0.75,-0.049999999999998934,0.6614900838237636,1.1857484849811308,1748700701,,False,1,f444b_00031,2025-05-31_15-11-41,90.11156940460205,90.11156940460205,1539333,cnl-brain9,155.198.99.250,90.11156940460205,1,0.15,0.25,0.9,f444b_00031
32,1.0,1.0,56.22000000000137,0.0025087003974073596,1.5,-0.049999999999998934,0.6638195257354127,1.158033193578697,1.0,1.0,308.18999999996146,-0.010434140329425912,1.0,-0.049999999999998934,0.6475690652268229,1.0167466135884955,0.0,0.0,,,0.0,-0.049999999999998934,0.6475690652268229,1.0167466135884955,1748700690,,False,1,f444b_00032,2025-05-31_15-11-30,79.04401755332947,79.04401755332947,1539334,cnl-brain9,155.198.99.250,79.04401755332947,1,0.15,0.30000000000000004,0.9,f444b_00032
