,metric/num_BTSP_events_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(single),metric/num_BTSP_positions_(reverse),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(single),metric/first_BTSP_time_(reverse),metric/first_BTSP_time_(back_and_forth),metric/max_BTSP_ramp_(single),metric/max_BTSP_ramp_(reverse),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_ratio_pre_post_(single),metric/PC_weight_ratio_pre_post_(reverse),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/first_BTSP_relative_position_(single),metric/first_BTSP_relative_position_(reverse),metric/first_BTSP_relative_position_(back_and_forth),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_peak_relative_position_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
41,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393590,,False,1,09e20_00041,2024-07-31_03-39-50,26.306321144104004,26.306321144104004,62404,cnl-brain10,155.198.100.139,26.306321144104004,1,0.35,250.0,3.5,09e20_00041
42,1,0,0,1,0,0,80.37000000000228,,,1.75,0.0,0.0,1.1285367759323637,1.1285367759323637,1.1285367759323637,0.031339122410713294,,,0.078125,0.078125,0.078125,1722393588,,False,1,09e20_00042,2024-07-31_03-39-48,24.60733389854431,24.60733389854431,62361,cnl-brain10,155.198.100.139,24.60733389854431,1,0.4,250.0,3.5,09e20_00042
43,1,1,0,1,1,0,81.48000000000232,218.3400000000075,,1.75,1.5,0.0,1.293366995944001,1.16378472963556,1.16378472963556,0.05195023970822821,-0.0844312191127522,,0.078125,-0.109375,-0.109375,1722393590,,False,1,09e20_00043,2024-07-31_03-39-50,25.848973512649536,25.848973512649536,62521,cnl-brain10,155.198.100.139,25.848973512649536,1,0.45,250.0,3.5,09e20_00043
44,1,1,0,1,1,0,82.53000000000236,254.9400000000089,,2.0,1.5,0.0,1.4302884948914265,1.1284869203953898,1.1284869203953898,0.06343137929427939,-0.08617517496991789,,0.078125,-0.109375,-0.109375,1722393589,,False,1,09e20_00044,2024-07-31_03-39-49,24.508344650268555,24.508344650268555,62414,cnl-brain10,155.198.100.139,24.508344650268555,1,0.5,250.0,3.5,09e20_00044
45,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393588,,False,1,09e20_00045,2024-07-31_03-39-48,23.37174940109253,23.37174940109253,62525,cnl-brain10,155.198.100.139,23.37174940109253,1,0.3,250.0,3.0,09e20_00045
46,1,0,0,1,0,0,81.72000000000233,,,1.5,0.0,0.0,1.735292583674738,1.735292583674738,1.735292583674738,-0.0031592465873551134,,,-0.015625,-0.015625,-0.015625,1722393590,,False,1,09e20_00046,2024-07-31_03-39-50,25.064218044281006,25.064218044281006,62122,cnl-brain10,155.198.100.139,25.064218044281006,1,0.35,250.0,3.0,09e20_00046
47,1,0,0,1,0,0,81.90000000000234,,,2.0,0.0,0.0,1.0880051694144315,1.0880051694144315,1.0880051694144315,0.033409142678883286,,,0.078125,0.078125,0.078125,1722393590,,False,1,09e20_00047,2024-07-31_03-39-50,25.136991500854492,25.136991500854492,62482,cnl-brain10,155.198.100.139,25.136991500854492,1,0.4,250.0,3.0,09e20_00047
48,1,1,0,1,1,0,78.54000000000221,220.29000000000758,,2.25,2.0,0.0,1.2845602633905375,1.1487130679898803,1.1487130679898803,0.052604438113174834,-0.07761134701143346,,0.078125,-0.109375,-0.109375,1722393591,,False,1,09e20_00048,2024-07-31_03-39-51,25.112721920013428,25.112721920013428,62524,cnl-brain10,155.198.100.139,25.112721920013428,1,0.45,250.0,3.0,09e20_00048
49,1,1,0,1,1,0,81.72000000000233,251.94000000000878,,2.5,2.5,0.0,1.4937031810894241,1.1042196050758837,1.1042196050758837,0.0643956031220756,-0.08888044779490445,,0.078125,-0.109375,-0.109375,1722393589,,False,1,09e20_00049,2024-07-31_03-39-49,23.932916164398193,23.932916164398193,62527,cnl-brain10,155.198.100.139,23.932916164398193,1,0.5,250.0,3.0,09e20_00049
50,0,0,0,0,0,0,,,,0.0,0.0,0.0,,,,,,,,,,1722393590,,False,1,09e20_00050,2024-07-31_03-39-50,24.77031970024109,24.77031970024109,62520,cnl-brain10,155.198.100.139,24.77031970024109,1,0.3,250.0,2.5,09e20_00050
