,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
428,3.0,1.0,49.0200000000011,0.055810930143546766,1.25,-0.049999999999998934,1.0252832510379006,1.087762371926615,2.0,1.0,351.1499999999224,-0.01720837997676572,1.0,-0.049999999999998934,1.0251412210791817,1.1056689498286787,0.0,0.0,,,0.0,-0.049999999999998934,1.0235726486093162,1.0769796656399944,1759204263,,False,1,8b00c_00428,2025-09-30_04-51-03,56.36126899719238,56.36126899719238,4050796,cnl-brain9,155.198.99.250,56.36126899719238,1,0.18,0.35000000000000003,0.8,8b00c_00428
429,6.0,2.0,79.77000000000226,-0.009316741953627972,2.25,-0.049999999999998934,0.4910682198793368,2.4170122368686755,6.0,1.0,320.39999999995035,0.04354953896031599,3.0,-0.049999999999998934,0.6429114386743247,1.1626899607198105,9.0,2.0,583.0799999997115,-0.015046798134709327,5.5,0.05000000000000071,0.6355560957989699,0.9834197851775359,1759204259,,False,1,8b00c_00429,2025-09-30_04-50-59,52.14962911605835,52.14962911605835,4050791,cnl-brain9,155.198.99.250,52.14962911605835,1,0.18,0.4,0.8,8b00c_00429
430,1.0,1.0,43.440000000000886,0.0228738875715897,1.0,0.05000000000000071,0.6526072251447168,1.2080792479252445,0.0,0.0,,,0.5,0.05000000000000071,0.6526072251447168,1.2080792479252445,0.0,0.0,,,0.75,0.05000000000000071,0.6526072251447168,1.2080792479252445,1759204260,,False,1,8b00c_00430,2025-09-30_04-51-00,53.32190680503845,53.32190680503845,4050781,cnl-brain9,155.198.99.250,53.32190680503845,1,0.18,0.2,0.9,8b00c_00430
431,1.0,1.0,49.92000000000113,0.03955713744558764,1.0,-0.049999999999998934,0.7314902316405796,1.1077842177213524,0.0,0.0,,,0.75,-0.049999999999998934,0.7314902316405796,1.1077842177213524,1.0,1.0,754.4099999995557,0.005820274447819518,1.0,0.05000000000000071,0.5199762197124866,0.9202934911205118,1759204260,,False,1,8b00c_00431,2025-09-30_04-51-00,53.056477785110474,53.056477785110474,4050754,cnl-brain9,155.198.99.250,53.056477785110474,1,0.18,0.25,0.9,8b00c_00431
432,2.0,1.0,54.87000000000132,0.05231237659835131,1.0,0.05000000000000071,0.7846563989682722,1.1048200948125673,0.0,0.0,,,0.25,0.05000000000000071,0.7846563989682722,1.1048200948125673,0.0,0.0,,,0.5,0.05000000000000071,0.7846563989682722,1.1048200948125673,1759204258,,False,1,8b00c_00432,2025-09-30_04-50-58,51.353941679000854,51.353941679000854,4050787,cnl-brain9,155.198.99.250,51.353941679000854,1,0.18,0.30000000000000004,0.9,8b00c_00432
433,2.0,1.0,51.24000000000118,0.0394433152011886,1.25,0.05000000000000071,0.8043114303685384,1.1684580204830002,1.0,1.0,424.8299999998554,-0.012158042272710556,1.25,0.05000000000000071,0.8102453927737332,1.1270700394664253,0.0,0.0,,,0.5,0.05000000000000071,0.8102453927737332,1.1270700394664253,1759204262,,False,1,8b00c_00433,2025-09-30_04-51-02,54.790953159332275,54.790953159332275,4050760,cnl-brain9,155.198.99.250,54.790953159332275,1,0.18,0.35000000000000003,0.9,8b00c_00433
434,2.0,1.0,44.64000000000093,0.03817390761943251,1.25,-0.049999999999998934,0.6711657947326963,1.1516166005059854,4.0,1.0,370.3499999999049,-0.02229226210480917,1.25,-0.049999999999998934,0.6940488325009846,1.019661303942936,7.0,2.0,659.549999999642,0.002443427160142786,2.75,-0.049999999999998934,0.4527767531776785,1.5044674244206655,1759204263,,False,1,8b00c_00434,2025-09-30_04-51-03,54.88186979293823,54.88186979293823,4050798,cnl-brain9,155.198.99.250,54.88186979293823,1,0.18,0.4,0.9,8b00c_00434
435,0.0,0.0,,,0.75,,0.0,,1.0,1.0,323.5499999999475,0.004360518953522963,1.0,0.05000000000000071,0.34068120014064807,0.7396905818028068,0.0,0.0,,,0.75,0.05000000000000071,0.34068120014064807,0.7396905818028068,1759204261,,False,1,8b00c_00435,2025-09-30_04-51-01,53.29830288887024,53.29830288887024,4050784,cnl-brain9,155.198.99.250,53.29830288887024,1,0.18,0.2,1.0,8b00c_00435
436,1.0,1.0,52.83000000000124,-0.018939186545976927,1.0,-0.049999999999998934,0.5334393367394612,1.4258054522740526,0.0,0.0,,,0.5,-0.049999999999998934,0.5334393367394612,1.4258054522740526,0.0,0.0,,,0.75,-0.049999999999998934,0.5334393367394612,1.4258054522740526,1759204266,,False,1,8b00c_00436,2025-09-30_04-51-06,58.14346408843994,58.14346408843994,4050774,cnl-brain9,155.198.99.250,58.14346408843994,1,0.18,0.25,1.0,8b00c_00436
437,1.0,1.0,82.62000000000236,0.014747859615856118,1.0,-0.049999999999998934,0.7929386970389176,1.065795123282906,0.0,0.0,,,0.75,-0.049999999999998934,0.7929386970389176,1.065795123282906,0.0,0.0,,,0.75,-0.049999999999998934,0.7929386970389176,1.065795123282906,1759204262,,False,1,8b00c_00437,2025-09-30_04-51-02,53.29278802871704,53.29278802871704,4050766,cnl-brain9,155.198.99.250,53.29278802871704,1,0.18,0.30000000000000004,1.0,8b00c_00437
438,2.0,1.0,40.56000000000078,0.04191903159578825,1.0,-0.049999999999998934,0.9435052473483418,0.975364210733002,0.0,0.0,,,0.75,-0.049999999999998934,0.9435052473483418,0.975364210733002,0.0,0.0,,,0.0,-0.049999999999998934,0.9435052473483418,0.975364210733002,1759204262,,False,1,8b00c_00438,2025-09-30_04-51-02,53.42409873008728,53.42409873008728,4050768,cnl-brain9,155.198.99.250,53.42409873008728,1,0.18,0.35000000000000003,1.0,8b00c_00438
439,1.0,1.0,47.97000000000106,0.012572210298248176,1.25,-0.049999999999998934,0.5339056486075906,1.2540669359197292,1.0,1.0,303.68999999996555,-0.030067956613265334,1.0,-0.049999999999998934,0.5363914456459788,1.169053158282132,0.0,0.0,,,0.0,-0.049999999999998934,0.5363914456459788,1.169053158282132,1759204264,,False,1,8b00c_00439,2025-09-30_04-51-04,54.28784489631653,54.28784489631653,4050782,cnl-brain9,155.198.99.250,54.28784489631653,1,0.18,0.4,1.0,8b00c_00439
440,1.0,1.0,156.87000000000518,0.0013363714170293584,1.0,0.05000000000000071,0.5181740828728878,1.268682738309954,0.0,0.0,,,0.0,0.05000000000000071,0.5181740828728878,1.268682738309954,0.0,0.0,,,0.0,0.05000000000000071,0.5181740828728878,1.268682738309954,1759204266,,False,1,8b00c_00440,2025-09-30_04-51-06,55.558433294296265,55.558433294296265,4050777,cnl-brain9,155.198.99.250,55.558433294296265,1,0.18,0.2,1.1,8b00c_00440
441,1.0,1.0,108.72000000000335,0.025441172788333688,1.0,-0.049999999999998934,1.0372145637229009,1.0076698205179957,0.0,0.0,,,0.25,-0.049999999999998934,1.0372145637229009,1.0076698205179957,0.0,0.0,,,0.25,-0.049999999999998934,1.0372145637229009,1.0076698205179957,1759204268,,False,1,8b00c_00441,2025-09-30_04-51-08,57.24962282180786,57.24962282180786,4050785,cnl-brain9,155.198.99.250,57.24962282180786,1,0.18,0.25,1.1,8b00c_00441
