,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,metric/max_normalization,metric/98th_percentile_firingrate,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
43,1.0,1.0,239.58,0.008179328701903188,1.0,-0.049999999999998934,0.48527250289954793,1.1944239353523083,0.7579741552503774,1.716482211461391,1776479584,,False,1,c9cff_00043,2026-04-18_03-33-04,25.189688205718994,25.189688205718994,1586125,cnl-brain9,155.198.99.250,25.189688205718994,1,0.15,0.35000000000000003,1.625,c9cff_00043
44,1.0,1.0,59.7,0.007727908749281198,1.0,-0.049999999999998934,0.49805284528334814,1.2028588137484946,0.758864763543792,3.2400914563726753,1776479585,,False,1,c9cff_00044,2026-04-18_03-33-05,26.147335290908813,26.147335290908813,1586133,cnl-brain9,155.198.99.250,26.147335290908813,1,0.15,0.4,1.625,c9cff_00044
45,0.0,0.0,,,0.5,,0.0,,,0.7493445862457586,1776479584,,False,1,c9cff_00045,2026-04-18_03-33-04,24.794259548187256,24.794259548187256,1586120,cnl-brain9,155.198.99.250,24.794259548187256,1,0.15,0.2,2.0,c9cff_00045
46,0.0,0.0,,,0.5,,0.0,,,0.7511510767827568,1776479585,,False,1,c9cff_00046,2026-04-18_03-33-05,25.362276554107666,25.362276554107666,1586136,cnl-brain9,155.198.99.250,25.362276554107666,1,0.15,0.25,2.0,c9cff_00046
47,0.0,0.0,,,0.5,,0.0,,,0.7526335445901021,1776479584,,False,1,c9cff_00047,2026-04-18_03-33-04,24.911277532577515,24.911277532577515,1586129,cnl-brain9,155.198.99.250,24.911277532577515,1,0.15,0.30000000000000004,2.0,c9cff_00047
48,0.0,0.0,,,0.75,,0.0,,,0.7464235440067694,1776479585,,False,1,c9cff_00048,2026-04-18_03-33-05,25.573514938354492,25.573514938354492,1586128,cnl-brain9,155.198.99.250,25.573514938354492,1,0.15,0.35000000000000003,2.0,c9cff_00048
49,0.0,0.0,,,0.75,,0.0,,,0.7461933090747787,1776479585,,False,1,c9cff_00049,2026-04-18_03-33-05,25.58723282814026,25.58723282814026,1586140,cnl-brain9,155.198.99.250,25.58723282814026,1,0.15,0.4,2.0,c9cff_00049
50,9.0,2.0,58.23,0.014863283008337724,6.75,-0.14999999999999902,0.4772757067997708,1.5765349732438096,1.3533157268089526,6.909361595466447,1776479585,,False,1,c9cff_00050,2026-04-18_03-33-05,25.508252382278442,25.508252382278442,1586143,cnl-brain9,155.198.99.250,25.508252382278442,1,0.2,0.2,0.5,c9cff_00050
51,9.0,1.0,58.89,0.003990570761377654,6.75,-0.14999999999999902,0.5003476323180789,1.6105790773281248,1.3310762820794482,6.750184361681823,1776479585,,False,1,c9cff_00051,2026-04-18_03-33-05,25.88476848602295,25.88476848602295,1586145,cnl-brain9,155.198.99.250,25.88476848602295,1,0.2,0.25,0.5,c9cff_00051
52,9.0,2.0,58.98,0.012467543913403656,7.0,-0.14999999999999902,0.44240881052918235,1.9045801097773114,1.3528919652416822,7.147530355640753,1776479585,,False,1,c9cff_00052,2026-04-18_03-33-05,25.86007857322693,25.86007857322693,1586179,cnl-brain9,155.198.99.250,25.86007857322693,1,0.2,0.30000000000000004,0.5,c9cff_00052
53,9.0,1.0,59.1,0.006438413697708256,6.75,-0.14999999999999902,0.4927466946880097,1.7050911279498684,1.3309077952349846,6.935326327115275,1776479585,,False,1,c9cff_00053,2026-04-18_03-33-05,25.411439895629883,25.411439895629883,1586203,cnl-brain9,155.198.99.250,25.411439895629883,1,0.2,0.35000000000000003,0.5,c9cff_00053
54,9.0,1.0,58.89,0.0047643904963980965,8.0,-0.14999999999999902,0.44997208771361086,2.471766913299807,1.3524658684512105,7.379267758414016,1776479585,,False,1,c9cff_00054,2026-04-18_03-33-05,25.691783905029297,25.691783905029297,1586137,cnl-brain9,155.198.99.250,25.691783905029297,1,0.2,0.4,0.5,c9cff_00054
55,1.0,1.0,59.49,0.013551104737086206,1.0,-0.049999999999998934,0.5155430735098165,1.191385897853684,0.8010658043119496,4.024694167347824,1776479585,,False,1,c9cff_00055,2026-04-18_03-33-05,25.239637851715088,25.239637851715088,1586172,cnl-brain9,155.198.99.250,25.239637851715088,1,0.2,0.2,0.875,c9cff_00055
56,1.0,1.0,58.86,0.006198942593396595,1.25,-0.049999999999998934,0.49406698733634613,1.2509033002283698,0.8053548720785972,4.07969192272961,1776479585,,False,1,c9cff_00056,2026-04-18_03-33-05,25.313838243484497,25.313838243484497,1586216,cnl-brain9,155.198.99.250,25.313838243484497,1,0.2,0.25,0.875,c9cff_00056
57,1.0,1.0,58.86,0.009039786405064199,1.5,-0.049999999999998934,0.5155080482001311,1.2549507047122443,0.8008187627883567,4.020008589955938,1776479585,,False,1,c9cff_00057,2026-04-18_03-33-05,25.554282665252686,25.554282665252686,1586229,cnl-brain9,155.198.99.250,25.554282665252686,1,0.2,0.30000000000000004,0.875,c9cff_00057
58,1.0,1.0,61.38,0.01905796574156904,1.25,-0.049999999999998934,0.5562486218022422,1.1696784817191046,0.7951633330273827,3.929203334399182,1776479585,,False,1,c9cff_00058,2026-04-18_03-33-05,25.80546998977661,25.80546998977661,1586220,cnl-brain9,155.198.99.250,25.80546998977661,1,0.2,0.35000000000000003,0.875,c9cff_00058
