,metric/num_BTSP_events_(single),metric/num_BTSP_positions_(single),metric/first_BTSP_time_(single),metric/first_BTSP_relative_position_(single),metric/max_BTSP_ramp_(single),metric/PC_weight_peak_relative_position_(single),metric/PC_weight_width_(single),metric/PC_weight_ratio_pre_post_(single),metric/max_normalization_(single),metric/98th_percentile_firingrate_(single),metric/num_BTSP_events_(reverse),metric/num_BTSP_positions_(reverse),metric/first_BTSP_time_(reverse),metric/first_BTSP_relative_position_(reverse),metric/max_BTSP_ramp_(reverse),metric/PC_weight_peak_relative_position_(reverse),metric/PC_weight_width_(reverse),metric/PC_weight_ratio_pre_post_(reverse),metric/max_normalization_(reverse),metric/98th_percentile_firingrate_(reverse),metric/num_BTSP_events_(back_and_forth),metric/num_BTSP_positions_(back_and_forth),metric/first_BTSP_time_(back_and_forth),metric/first_BTSP_relative_position_(back_and_forth),metric/max_BTSP_ramp_(back_and_forth),metric/PC_weight_peak_relative_position_(back_and_forth),metric/PC_weight_width_(back_and_forth),metric/PC_weight_ratio_pre_post_(back_and_forth),metric/max_normalization_(back_and_forth),metric/98th_percentile_firingrate_(back_and_forth),timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/proximal_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
254,9.0,2.0,59.7,0.019607517456405432,6.25,-0.049999999999998934,0.5197148601357866,2.55352065612758,1.1691150552587062,6.378585784398528,9.0,1.0,499.86,0.01549405949466065,6.5,0.05000000000000071,0.4798937281774056,0.5879578456569905,1.1571326406891438,7.260434886900347,9.0,2.0,949.89,-0.025640595010738565,5.5,0.05000000000000071,0.4592428451270534,0.6186638229452424,1.1642898582836176,7.237942649467115,1776484128,,False,1,00146_00254,2026-04-18_04-48-48,77.43762350082397,77.43762350082397,1710521,cnl-brain9,155.198.99.250,77.43762350082397,1,0.1,0.4,0.5,00146_00254
255,1.0,1.0,59.52,0.01665891691826671,1.25,-0.049999999999998934,0.5556243257934748,1.1088894877330397,0.7212890095998709,1.8264388085073324,1.0,1.0,520.44,0.005815606125727957,1.0,0.05000000000000071,0.5116613804555223,0.9601304577996452,0.7969747887508448,3.8449641470865945,0.0,0.0,,,0.0,0.05000000000000071,0.5116613804555223,0.9601304577996452,,3.9865954956003518,1776484127,,False,1,00146_00255,2026-04-18_04-48-47,75.33107304573059,75.33107304573059,1710594,cnl-brain9,155.198.99.250,75.33107304573059,1,0.1,0.2,0.875,00146_00255
256,2.0,2.0,59.58,0.005078541558725114,1.25,-0.049999999999998934,0.49466727943275624,1.2320870417156473,0.802727204330433,3.5222599993254837,0.0,0.0,,,0.0,-0.049999999999998934,0.49466727943275624,1.2320870417156473,,4.2197060638819694,0.0,0.0,,,0.0,-0.049999999999998934,0.49466727943275624,1.2320870417156473,,4.176898307627198,1776484187,,False,1,00146_00256,2026-04-18_04-49-47,77.26836323738098,77.26836323738098,1710797,cnl-brain9,155.198.99.250,77.26836323738098,1,0.1,0.25,0.875,00146_00256
257,2.0,1.0,59.4,0.014913461333844413,1.25,-0.049999999999998934,0.50641295036348,1.237921016204055,0.8022440332818148,3.976910241123958,0.0,0.0,,,0.75,-0.049999999999998934,0.50641295036348,1.237921016204055,,4.175698957313432,0.0,0.0,,,0.75,-0.049999999999998934,0.50641295036348,1.237921016204055,,4.118096435170455,1776484187,,False,1,00146_00257,2026-04-18_04-49-47,76.20189571380615,76.20189571380615,1710868,cnl-brain9,155.198.99.250,76.20189571380615,1,0.1,0.30000000000000004,0.875,00146_00257
258,2.0,2.0,60.87,0.007332725571677301,1.5,-0.049999999999998934,0.46565162658667836,1.2196971623113124,0.8090924947720022,4.092673036714368,1.0,1.0,678.45,-0.027660239337775394,1.0,-0.049999999999998934,0.4673961082779461,1.1268274889717367,0.9249417782229883,4.965611391515461,0.0,0.0,,,0.0,-0.049999999999998934,0.4673961082779461,1.1268274889717367,,5.902543851851437,1776484187,,False,1,00146_00258,2026-04-18_04-49-47,76.59639644622803,76.59639644622803,1710869,cnl-brain9,155.198.99.250,76.59639644622803,1,0.1,0.35000000000000003,0.875,00146_00258
259,2.0,2.0,59.1,0.011930207069331011,1.5,-0.049999999999998934,0.5089726917471227,1.2346538750090268,0.7999877265358041,3.9310104017313465,1.0,1.0,473.58,-0.01145274677396868,1.25,-0.049999999999998934,0.4869858663451416,1.1107721745100188,0.9101705402404092,5.625407027093157,0.0,0.0,,,0.0,-0.049999999999998934,0.4869858663451416,1.1107721745100188,,5.792619442106683,1776484189,,False,1,00146_00259,2026-04-18_04-49-49,74.583416223526,74.583416223526,1711133,cnl-brain9,155.198.99.250,74.583416223526,1,0.1,0.4,0.875,00146_00259
260,0.0,0.0,,,0.75,,0.0,,,0.7605657431951398,0.0,0.0,,,0.75,,0.0,,,0.7611304116180615,0.0,0.0,,,0.75,,0.0,,,0.7626228146232907,1776484190,,False,1,00146_00260,2026-04-18_04-49-50,75.168142080307,75.168142080307,1711144,cnl-brain9,155.198.99.250,75.168142080307,1,0.1,0.2,1.25,00146_00260
261,1.0,1.0,104.25,0.010582678476918073,1.0,-0.049999999999998934,0.5125599962704839,1.11692640793092,0.7223958662964043,1.579537937634052,0.0,0.0,,,0.75,-0.049999999999998934,0.5125599962704839,1.11692640793092,,2.2630473777099844,0.0,0.0,,,0.5,-0.049999999999998934,0.5125599962704839,1.11692640793092,,2.188112537604947,1776484191,,False,1,00146_00261,2026-04-18_04-49-51,76.40764236450195,76.40764236450195,1711145,cnl-brain9,155.198.99.250,76.40764236450195,1,0.1,0.25,1.25,00146_00261
262,1.0,1.0,59.25,0.018007199312385147,1.0,-0.049999999999998934,0.5846988805629332,1.105449041312773,0.7204553947558691,1.7522648177986968,1.0,1.0,476.67,0.0027087107679504285,1.0,0.05000000000000071,0.5597385568984543,0.9713102695060143,0.7875403950180413,3.7170794604527675,0.0,0.0,,,0.0,0.05000000000000071,0.5597385568984543,0.9713102695060143,,3.781161544655289,1776484193,,False,1,00146_00262,2026-04-18_04-49-53,76.34885835647583,76.34885835647583,1711393,cnl-brain9,155.198.99.250,76.34885835647583,1,0.1,0.30000000000000004,1.25,00146_00262
263,1.0,1.0,58.98,0.0031974621104704504,1.0,-0.049999999999998934,0.4409241788177227,1.1467926783424827,0.7264858973325804,2.1135768815614466,0.0,0.0,,,0.75,-0.049999999999998934,0.4409241788177227,1.1467926783424827,,2.4051408231811924,1.0,1.0,962.58,-0.003617455151682769,1.0,-0.049999999999998934,0.4866466681658972,1.0145287946519839,0.7984010873668567,3.816903705797709,1776484191,,False,1,00146_00263,2026-04-18_04-49-51,74.69807267189026,74.69807267189026,1711404,cnl-brain9,155.198.99.250,74.69807267189026,1,0.1,0.35000000000000003,1.25,00146_00263
