,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/first_BTSP_relative_position,metric/max_BTSP_ramp,metric/PC_weight_peak_relative_position,metric/PC_weight_width,metric/PC_weight_ratio_pre_post,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/somatic_BTSP_lr,config/inhibitory_input_filter_tau,config/inhibitory_weight,logdir
305,1.0,1.0,46.440000000001,0.035065149577346855,1.0,-0.049999999999998934,0.8512271435977663,1.033067138125345,1759202299,,False,1,d7f4a_00305,2025-09-30_04-18-19,16.98811674118042,16.98811674118042,4029810,cnl-brain9,155.198.99.250,16.98811674118042,1,0.18,0.2,0.9,d7f4a_00305
306,1.0,1.0,72.06000000000196,0.023368233990545217,1.0,-0.049999999999998934,0.8115432696265907,1.0585473610529053,1759202297,,False,1,d7f4a_00306,2025-09-30_04-18-17,14.66166639328003,14.66166639328003,4029878,cnl-brain9,155.198.99.250,14.66166639328003,1,0.18,0.25,0.9,d7f4a_00306
307,2.0,1.0,50.13000000000114,0.011261747154657442,1.25,-0.049999999999998934,0.5198943320733753,1.1599789810992938,1759202299,,False,1,d7f4a_00307,2025-09-30_04-18-19,16.625165939331055,16.625165939331055,4029725,cnl-brain9,155.198.99.250,16.625165939331055,1,0.18,0.30000000000000004,0.9,d7f4a_00307
308,2.0,1.0,45.57000000000097,0.04343403935293155,1.0,0.05000000000000071,0.7076022220991116,1.1558808120609596,1759202299,,False,1,d7f4a_00308,2025-09-30_04-18-19,16.244730710983276,16.244730710983276,4029892,cnl-brain9,155.198.99.250,16.244730710983276,1,0.18,0.35000000000000003,0.9,d7f4a_00308
309,2.0,1.0,48.63000000000108,0.02765679440077795,1.25,0.05000000000000071,0.8849458556707535,1.0169057780674884,1759202299,,False,1,d7f4a_00309,2025-09-30_04-18-19,16.495522260665894,16.495522260665894,4029887,cnl-brain9,155.198.99.250,16.495522260665894,1,0.18,0.4,0.9,d7f4a_00309
310,1.0,1.0,85.74000000000248,0.029219026250324465,1.0,0.05000000000000071,0.8096892034252634,1.0060762109582444,1759202300,,False,1,d7f4a_00310,2025-09-30_04-18-20,16.538724899291992,16.538724899291992,4029880,cnl-brain9,155.198.99.250,16.538724899291992,1,0.18,0.2,1.0,d7f4a_00310
311,1.0,1.0,44.91000000000094,0.02444045945547213,1.0,-0.049999999999998934,2.0492171605103406,1.073851365000982,1759202299,,False,1,d7f4a_00311,2025-09-30_04-18-19,15.875049114227295,15.875049114227295,4029913,cnl-brain9,155.198.99.250,15.875049114227295,1,0.18,0.25,1.0,d7f4a_00311
312,1.0,1.0,46.410000000001,0.02272203119520766,1.25,-0.14999999999999902,0.6159381522044876,0.763259065487824,1759202299,,False,1,d7f4a_00312,2025-09-30_04-18-19,15.53683352470398,15.53683352470398,4029896,cnl-brain9,155.198.99.250,15.53683352470398,1,0.18,0.30000000000000004,1.0,d7f4a_00312
313,1.0,1.0,42.360000000000845,0.0575077440594054,1.0,-0.14999999999999902,0.7806065561484647,0.8470758433900967,1759202299,,False,1,d7f4a_00313,2025-09-30_04-18-19,15.994188070297241,15.994188070297241,4029881,cnl-brain9,155.198.99.250,15.994188070297241,1,0.18,0.35000000000000003,1.0,d7f4a_00313
314,2.0,1.0,50.250000000001144,0.015619637129213437,1.25,0.05000000000000071,0.49204995300517007,1.2587723309262147,1759202300,,False,1,d7f4a_00314,2025-09-30_04-18-20,16.67092728614807,16.67092728614807,4029884,cnl-brain9,155.198.99.250,16.67092728614807,1,0.18,0.4,1.0,d7f4a_00314
