,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/dend_w_init_loc,config/soma_BTSP_lr_fact,config/inhibit_weight,logdir
42,1,1,94.77000000000282,1.5,1.3805346508358602,0.027320977730007412,0.046875,1705546056,,False,1,e826f_00042,2024-01-18_02-47-36,8.984346151351929,8.984346151351929,33827,cnl-brain10,155.198.100.139,8.984346151351929,1,0.4,250.0,3.5,e826f_00042
43,1,1,93.09000000000276,1.75,1.5910241156167295,0.05277333360098968,0.046875,1705546056,,False,1,e826f_00043,2024-01-18_02-47-36,9.229701519012451,9.229701519012451,33826,cnl-brain10,155.198.100.139,9.229701519012451,1,0.45,250.0,3.5,e826f_00043
44,1,1,93.9900000000028,2.0,0.845172654882302,0.06849248128279206,0.140625,1705546056,,False,1,e826f_00044,2024-01-18_02-47-36,9.495380163192749,9.495380163192749,33825,cnl-brain10,155.198.100.139,9.495380163192749,1,0.5,250.0,3.5,e826f_00044
45,0,0,,0.0,,,,1705546055,,False,1,e826f_00045,2024-01-18_02-47-35,7.290804624557495,7.290804624557495,33831,cnl-brain10,155.198.100.139,7.290804624557495,1,0.3,250.0,3.0,e826f_00045
46,1,1,94.1100000000028,1.5,0.9420720243044014,-0.007620395104930067,0.046875,1705546057,,False,1,e826f_00046,2024-01-18_02-47-37,9.538662195205688,9.538662195205688,33830,cnl-brain10,155.198.100.139,9.538662195205688,1,0.35,250.0,3.0,e826f_00046
47,1,1,93.18000000000276,2.0,1.4607911205507287,0.033724804178665524,0.046875,1705546055,,False,1,e826f_00047,2024-01-18_02-47-35,7.5751259326934814,7.5751259326934814,33829,cnl-brain10,155.198.100.139,7.5751259326934814,1,0.4,250.0,3.0,e826f_00047
48,1,1,93.78000000000279,2.25,1.5888146614600267,0.054023979319529625,0.046875,1705546056,,False,1,e826f_00048,2024-01-18_02-47-36,9.218125581741333,9.218125581741333,33828,cnl-brain10,155.198.100.139,9.218125581741333,1,0.45,250.0,3.0,e826f_00048
49,1,1,95.01000000000283,2.25,0.8415006256258118,0.065228246237099,0.140625,1705546057,,False,1,e826f_00049,2024-01-18_02-47-37,9.366684913635254,9.366684913635254,33834,cnl-brain10,155.198.100.139,9.366684913635254,1,0.5,250.0,3.0,e826f_00049
50,0,0,,0.0,,,,1705546056,,False,1,e826f_00050,2024-01-18_02-47-36,9.081340551376343,9.081340551376343,33833,cnl-brain10,155.198.100.139,9.081340551376343,1,0.3,250.0,2.5,e826f_00050
51,1,1,96.12000000000288,1.75,1.058989290649794,-0.0022263627690075616,0.046875,1705546056,,False,1,e826f_00051,2024-01-18_02-47-36,9.245177030563354,9.245177030563354,33837,cnl-brain10,155.198.100.139,9.245177030563354,1,0.35,250.0,2.5,e826f_00051
52,1,1,93.03000000000276,2.5,1.3605047885481967,0.03247146331674822,0.046875,1705546057,,False,1,e826f_00052,2024-01-18_02-47-37,9.224372386932373,9.224372386932373,33832,cnl-brain10,155.198.100.139,9.224372386932373,1,0.4,250.0,2.5,e826f_00052
53,1,1,92.52000000000274,2.75,1.6192680939149071,0.05632353739310836,0.046875,1705546056,,False,1,e826f_00053,2024-01-18_02-47-36,9.255781412124634,9.255781412124634,33836,cnl-brain10,155.198.100.139,9.255781412124634,1,0.45,250.0,2.5,e826f_00053
54,1,1,93.69000000000278,3.25,0.8581778306328468,0.06768352025160018,0.140625,1705546056,,False,1,e826f_00054,2024-01-18_02-47-36,8.95610499382019,8.95610499382019,33835,cnl-brain10,155.198.100.139,8.95610499382019,1,0.5,250.0,2.5,e826f_00054
55,0,0,,0.0,,,,1705546056,,False,1,e826f_00055,2024-01-18_02-47-36,9.039350271224976,9.039350271224976,33841,cnl-brain10,155.198.100.139,9.039350271224976,1,0.3,250.0,2.0,e826f_00055
56,1,1,92.34000000000273,2.5,1.106637667727618,0.003971340853311078,0.046875,1705546057,,False,1,e826f_00056,2024-01-18_02-47-37,9.169639587402344,9.169639587402344,33840,cnl-brain10,155.198.100.139,9.169639587402344,1,0.35,250.0,2.0,e826f_00056
57,1,1,93.36000000000277,3.75,1.4094626273121444,0.03820514668649633,0.046875,1705546056,,False,1,e826f_00057,2024-01-18_02-47-36,8.660364389419556,8.660364389419556,33839,cnl-brain10,155.198.100.139,8.660364389419556,1,0.4,250.0,2.0,e826f_00057
58,1,1,92.97000000000276,4.0,0.7345533526992685,0.05966399629344865,0.140625,1705546056,,False,1,e826f_00058,2024-01-18_02-47-36,8.776399374008179,8.776399374008179,33838,cnl-brain10,155.198.100.139,8.776399374008179,1,0.45,250.0,2.0,e826f_00058
59,1,1,89.46000000000262,4.5,0.8263562025008053,0.07057338134191449,0.140625,1705546057,,False,1,e826f_00059,2024-01-18_02-47-37,9.336481094360352,9.336481094360352,33842,cnl-brain10,155.198.100.139,9.336481094360352,1,0.5,250.0,2.0,e826f_00059
60,0,0,,0.0,,,,1705546064,,False,1,e826f_00060,2024-01-18_02-47-44,9.354180097579956,9.354180097579956,33831,cnl-brain10,155.198.100.139,9.354180097579956,1,0.3,300.0,4.5,e826f_00060
61,0,0,,0.0,,,,1705546063,,False,1,e826f_00061,2024-01-18_02-47-43,8.434692144393921,8.434692144393921,33829,cnl-brain10,155.198.100.139,8.434692144393921,1,0.35,300.0,4.5,e826f_00061
62,1,1,93.18000000000276,1.25,1.3281315255131811,0.02258765140156682,0.046875,1705546062,,False,1,e826f_00062,2024-01-18_02-47-42,7.2468578815460205,7.2468578815460205,33691,cnl-brain10,155.198.100.139,7.2468578815460205,1,0.4,300.0,4.5,e826f_00062
63,1,1,92.10000000000272,1.25,1.589362735593607,0.04645303998373862,0.046875,1705546064,,False,1,e826f_00063,2024-01-18_02-47-44,8.985630989074707,8.985630989074707,33692,cnl-brain10,155.198.100.139,8.985630989074707,1,0.45,300.0,4.5,e826f_00063
64,1,1,90.27000000000265,1.5,1.532626275186729,0.05778660334364716,0.046875,1705546065,,False,1,e826f_00064,2024-01-18_02-47-45,9.368902683258057,9.368902683258057,33715,cnl-brain10,155.198.100.139,9.368902683258057,1,0.5,300.0,4.5,e826f_00064
65,0,0,,0.0,,,,1705546065,,False,1,e826f_00065,2024-01-18_02-47-45,9.23464035987854,9.23464035987854,33700,cnl-brain10,155.198.100.139,9.23464035987854,1,0.3,300.0,4.0,e826f_00065
66,0,0,,0.0,,,,1705546065,,False,1,e826f_00066,2024-01-18_02-47-45,8.993233442306519,8.993233442306519,33705,cnl-brain10,155.198.100.139,8.993233442306519,1,0.35,300.0,4.0,e826f_00066
67,1,1,93.45000000000277,1.5,1.3027723608918194,0.027693981102902443,0.046875,1705546065,,False,1,e826f_00067,2024-01-18_02-47-45,9.042624711990356,9.042624711990356,33713,cnl-brain10,155.198.100.139,9.042624711990356,1,0.4,300.0,4.0,e826f_00067
68,1,1,93.72000000000278,1.5,1.5311404250674656,0.04870393822813601,0.046875,1705546065,,False,1,e826f_00068,2024-01-18_02-47-45,8.960735321044922,8.960735321044922,33717,cnl-brain10,155.198.100.139,8.960735321044922,1,0.45,300.0,4.0,e826f_00068
69,1,1,94.41000000000281,1.5,0.8428948114360455,0.061008338495922576,0.140625,1705546065,,False,1,e826f_00069,2024-01-18_02-47-45,9.045894861221313,9.045894861221313,33687,cnl-brain10,155.198.100.139,9.045894861221313,1,0.5,300.0,4.0,e826f_00069
70,0,0,,0.0,,,,1705546065,,False,1,e826f_00070,2024-01-18_02-47-45,8.711817502975464,8.711817502975464,33706,cnl-brain10,155.198.100.139,8.711817502975464,1,0.3,300.0,3.5,e826f_00070
71,0,0,,0.0,,,,1705546065,,False,1,e826f_00071,2024-01-18_02-47-45,9.14658498764038,9.14658498764038,33707,cnl-brain10,155.198.100.139,9.14658498764038,1,0.35,300.0,3.5,e826f_00071
72,1,1,92.55000000000274,1.75,1.3819889950724595,0.03003898777779712,0.046875,1705546065,,False,1,e826f_00072,2024-01-18_02-47-45,9.230600118637085,9.230600118637085,33725,cnl-brain10,155.198.100.139,9.230600118637085,1,0.4,300.0,3.5,e826f_00072
73,1,1,91.4400000000027,1.75,0.8934666747538348,0.048809354570776176,0.140625,1705546065,,False,1,e826f_00073,2024-01-18_02-47-45,9.446516036987305,9.446516036987305,33712,cnl-brain10,155.198.100.139,9.446516036987305,1,0.45,300.0,3.5,e826f_00073
74,1,1,91.3500000000027,2.0,1.7363710675223147,0.06483656037236663,0.046875,1705546065,,False,1,e826f_00074,2024-01-18_02-47-45,9.359361171722412,9.359361171722412,33698,cnl-brain10,155.198.100.139,9.359361171722412,1,0.5,300.0,3.5,e826f_00074
