,metric/num_BTSP_events,metric/num_BTSP_positions,metric/first_BTSP_time,metric/max_BTSP_ramp,metric/CA3_weight_ratio_pre_post,metric/first_BTSP_relative_position,metric/CA3_weight_peak_relative_position,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/soma_BTSP_lr_fact,config/inhibit_weight,config/soma_regularization_alpha,logdir
38,5,2,10.109999999999976,1.75,0.7561195235496271,-0.053393662242023465,0.359375,1704997846,,False,1,85ac0_00038,2024-01-11_18-30-46,1.6455352306365967,1.6455352306365967,77067,cnl-brain10,155.198.100.139,1.6455352306365967,1,150.0,3.25,0.8500000000000001,85ac0_00038
39,5,2,10.079999999999977,1.5,0.8031549558877915,-0.04655963264774454,0.359375,1704997846,,False,1,85ac0_00039,2024-01-11_18-30-46,1.5446619987487793,1.5446619987487793,77066,cnl-brain10,155.198.100.139,1.5446619987487793,1,150.0,3.5,0.8500000000000001,85ac0_00039
40,5,2,10.019999999999978,2.0,0.6831042268326942,-0.06187423305293527,0.359375,1704997846,,False,1,85ac0_00040,2024-01-11_18-30-46,1.6000628471374512,1.6000628471374512,77065,cnl-brain10,155.198.100.139,1.6000628471374512,1,175.0,2.5,0.8500000000000001,85ac0_00040
41,5,2,9.809999999999983,2.0,0.7122974919180661,-0.06603700823659353,0.359375,1704997845,,False,1,85ac0_00041,2024-01-11_18-30-45,1.6728999614715576,1.6728999614715576,77070,cnl-brain10,155.198.100.139,1.6728999614715576,1,175.0,2.75,0.8500000000000001,85ac0_00041
42,5,2,9.839999999999982,1.75,0.7000385085792036,-0.0583645229192441,0.359375,1704997846,,False,1,85ac0_00042,2024-01-11_18-30-46,1.6101493835449219,1.6101493835449219,77069,cnl-brain10,155.198.100.139,1.6101493835449219,1,175.0,3.0,0.8500000000000001,85ac0_00042
43,5,2,9.869999999999981,1.75,0.6992695205415754,-0.05707067366551177,0.359375,1704997846,,False,1,85ac0_00043,2024-01-11_18-30-46,1.6625747680664062,1.6625747680664062,77074,cnl-brain10,155.198.100.139,1.6625747680664062,1,175.0,3.25,0.8500000000000001,85ac0_00043
44,5,2,10.589999999999966,1.75,0.6461377016630759,-0.057872687926314614,0.359375,1704997846,,False,1,85ac0_00044,2024-01-11_18-30-46,1.5711090564727783,1.5711090564727783,77073,cnl-brain10,155.198.100.139,1.5711090564727783,1,175.0,3.5,0.8500000000000001,85ac0_00044
45,5,1,9.749999999999984,1.75,0.6982129169059323,-0.04013908787430187,0.359375,1704997846,,False,1,85ac0_00045,2024-01-11_18-30-46,1.6745388507843018,1.6745388507843018,77072,cnl-brain10,155.198.100.139,1.6745388507843018,1,200.0,2.5,0.8500000000000001,85ac0_00045
46,5,2,9.659999999999986,1.75,0.7028956384936875,-0.03998810116993934,0.359375,1704997846,,False,1,85ac0_00046,2024-01-11_18-30-46,1.6076996326446533,1.6076996326446533,77071,cnl-brain10,155.198.100.139,1.6076996326446533,1,200.0,2.75,0.8500000000000001,85ac0_00046
47,5,2,9.809999999999983,1.75,0.7617775890375705,-0.06808152311611382,0.359375,1704997846,,False,1,85ac0_00047,2024-01-11_18-30-46,1.6435699462890625,1.6435699462890625,77078,cnl-brain10,155.198.100.139,1.6435699462890625,1,200.0,3.0,0.8500000000000001,85ac0_00047
48,5,1,9.89999999999998,1.75,0.7404900764619795,-0.04984767958492775,0.359375,1704997846,,False,1,85ac0_00048,2024-01-11_18-30-46,1.7006137371063232,1.7006137371063232,77077,cnl-brain10,155.198.100.139,1.7006137371063232,1,200.0,3.25,0.8500000000000001,85ac0_00048
49,5,1,10.139999999999976,1.75,0.7337732635362626,-0.029101782142215815,0.359375,1704997846,,False,1,85ac0_00049,2024-01-11_18-30-46,1.6239776611328125,1.6239776611328125,77076,cnl-brain10,155.198.100.139,1.6239776611328125,1,200.0,3.5,0.8500000000000001,85ac0_00049
50,5,2,9.779999999999983,1.75,0.792077275001188,-0.051775033345791255,0.359375,1704997846,,False,1,85ac0_00050,2024-01-11_18-30-46,1.6410369873046875,1.6410369873046875,77075,cnl-brain10,155.198.100.139,1.6410369873046875,1,100.0,2.5,0.9,85ac0_00050
